Frequence	Ve(pp)	Vs(pp)	Gain	Phase
20	4.04	0.002	-66.10702739	0
30	4.04	0.002	-66.10702739	0
60	4.04	0.003	-62.58520221	0
90	4.04	0.006	-56.56460229	-3.81
200	4.04	0.03	-42.58520221	-10.4
300	4.04	0.065	-35.86936017	-16
600	4.04	0.25	-24.16882713	-31
900	4.04	0.5	-18.14822722	-44
2000	4.04	1.6	-8.045227649	-80
3000	4.04	2.4	-4.523402468	-104
6000	4.04	3.5	-1.246266415	-137
9000	4.04	3.7	-0.763592821	-150
20000	4.04	4	-0.086427476	-167
30000	4.04	4	-0.086427476	-170
60000	4.04	4	-0.086427476	-177
90000	4.04	4.16	0.25423931	-180
2000000	4.04	4.8	1.497197445	169
