Freq.	V(out)	V(s)
1.58489319246111e+04	2.23170172497948e+01	2.24622945995426e+01
1.71132830416178e+04	2.16603924527553e+01	2.18059163883029e+01
1.84784979742229e+04	2.10023725244985e+01	2.11480958542700e+01
1.99526231496888e+04	2.03431528103875e+01	2.04890325616944e+01
2.15443469003188e+04	1.96829026222384e+01	1.98288991531233e+01
2.32630506715363e+04	1.90217686419131e+01	1.91678447992925e+01
2.51188643150958e+04	1.83598779430602e+01	1.85059982554720e+01
2.71227257933203e+04	1.76973406636890e+01	1.78434705557456e+01
2.92864456462524e+04	1.70342523636425e+01	1.71803573782681e+01
3.16227766016838e+04	1.63706961008869e+01	1.65167411144439e+01
3.41454887383360e+04	1.57067442593995e+01	1.58526926737716e+01
3.68694506451958e+04	1.50424601597048e+01	1.51882730542098e+01
3.98107170553497e+04	1.43778994810704e+01	1.45235347056517e+01
4.29866234708228e+04	1.37131115222437e+01	1.38585227116480e+01
4.64158883361278e+04	1.30481403255145e+01	1.31932758120503e+01
5.01187233627272e+04	1.23830256869407e+01	1.25278272868425e+01
5.41169526546464e+04	1.17178040738298e+01	1.18622057191608e+01
5.84341413373518e+04	1.10525094690707e+01	1.11964356533958e+01
6.30957344480193e+04	1.03871741606893e+01	1.05305381623462e+01
6.81292069057961e+04	9.72182949406750e+00	9.86453133565854e+00
7.35642254459641e+04	9.05650660362923e+00	9.19843070022958e+00
7.94328234724282e+04	8.39123714047750e+00	8.53224958186712e+00
8.57695898590894e+04	7.72605401244945e+00	7.86599941628361e+00
9.26118728128793e+04	7.06099215336928e+00	7.19969001642217e+00
1.00000000000000e+05	6.39608933891632e+00	6.53332980217430e+00
