Temps	Canal A	Canal B
(ms)	(mV)	(V)

-4.42077679	161.18350000	1.93151600
-4.41821679	156.71250000	1.88680700
-4.41565679	161.18350000	1.88680700
-4.41309679	170.15590000	1.84194500
-4.41053679	170.15590000	1.84194500
-4.40797679	170.15590000	1.84194500
-4.40541679	170.15590000	1.79723500
-4.40285679	170.15590000	1.75237300
-4.40029679	174.62690000	1.75237300
-4.39773679	179.11310000	1.70766300
-4.39517679	179.11310000	1.66280100
-4.39261679	183.59930000	1.61809100
-4.39005679	183.59930000	1.61809100
-4.38749679	183.59930000	1.57322900
-4.38493679	183.59930000	1.57322900
-4.38237679	188.08560000	1.57322900
-4.37981679	192.55650000	1.52852000
-4.37725679	197.04280000	1.52852000
-4.37469679	192.55650000	1.52852000
-4.37213679	192.55650000	1.48365700
-4.36957679	197.04280000	1.48365700
-4.36701679	197.04280000	1.48365700
-4.36445679	197.04280000	1.48365700
-4.36189679	192.55650000	1.43894800
-4.35933679	197.04280000	1.39408600
-4.35677679	201.52900000	1.39408600
-4.35421679	201.52900000	1.39408600
-4.35165679	201.52900000	1.34937600
-4.34909679	205.99990000	1.34937600
-4.34653679	214.97240000	1.30451400
-4.34397679	205.99990000	1.30451400
-4.34141679	205.99990000	1.25965100
-4.33885679	205.99990000	1.30451400
-4.33629679	205.99990000	1.25965100
-4.33373679	205.99990000	1.21494200
-4.33117679	205.99990000	1.21494200
-4.32861679	205.99990000	1.21494200
-4.32605679	205.99990000	1.21494200
-4.32349679	210.48610000	1.17008000
-4.32093679	210.48610000	1.17008000
-4.31837679	210.48610000	1.12537000
-4.31581679	210.48610000	1.12537000
-4.31325679	210.48610000	1.12537000
-4.31069679	210.48610000	1.08050800
-4.30813679	210.48610000	1.08050800
-4.30557679	205.99990000	1.03579800
-4.30301679	210.48610000	1.03579800
-4.30045679	205.99990000	1.03579800
-4.29789679	210.48610000	1.03579800
-4.29533679	205.99990000	0.99093600
-4.29277679	210.48610000	0.99093600
-4.29021679	210.48610000	0.99093600
-4.28765679	205.99990000	0.94622640
-4.28509679	205.99990000	0.94622640
-4.28253679	201.52900000	0.94622640
-4.27997679	205.99990000	0.94622640
-4.27741679	205.99990000	0.94622640
-4.27485679	205.99990000	0.94622640
-4.27229679	205.99990000	0.90136410
-4.26973679	205.99990000	0.90136410
-4.26717679	197.04280000	0.90136410
-4.26461679	201.52900000	0.85665460
-4.26205679	201.52900000	0.90136410
-4.25949679	201.52900000	0.90136410
-4.25693679	201.52900000	0.90136410
-4.25437679	201.52900000	0.90136410
-4.25181679	197.04280000	0.90136410
-4.24925679	197.04280000	0.90136410
-4.24669679	197.04280000	0.85665460
-4.24413679	197.04280000	0.85665460
-4.24157679	197.04280000	0.90136410
-4.23901679	192.55650000	0.85665460
-4.23645679	197.04280000	0.90136410
-4.23389679	188.08560000	0.85665460
-4.23133679	188.08560000	0.85665460
-4.22877679	188.08560000	0.85665460
-4.22621679	183.59930000	0.85665460
-4.22365679	183.59930000	0.85665460
-4.22109679	183.59930000	0.85665460
-4.21853679	183.59930000	0.85665460
-4.21597679	179.11310000	0.85665460
-4.21341679	174.62690000	0.85665460
-4.21085679	174.62690000	0.85665460
-4.20829679	174.62690000	0.81179240
-4.20573679	170.15590000	0.85665460
-4.20317679	170.15590000	0.85665460
-4.20061679	165.66970000	0.81179240
-4.19805679	165.66970000	0.85665460
-4.19549679	161.18350000	0.85665460
-4.19293679	161.18350000	0.85665460
-4.19037679	161.18350000	0.85665460
-4.18781679	156.71250000	0.85665460
-4.18525679	156.71250000	0.90136410
-4.18269679	156.71250000	0.85665460
-4.18013679	152.22630000	0.90136410
-4.17757679	147.74010000	0.90136410
-4.17501679	147.74010000	0.94622640
-4.17245679	143.25390000	0.90136410
-4.16989679	143.25390000	0.90136410
-4.16733679	138.78290000	0.99093600
-4.16477679	138.78290000	0.99093600
-4.16221679	134.29670000	0.99093600
-4.15965679	129.81050000	1.03579800
-4.15709679	129.81050000	1.03579800
-4.15453679	125.33950000	1.03579800
-4.15197679	125.33950000	1.08050800
-4.14941679	120.85330000	1.08050800
-4.14685679	120.85330000	1.12537000
-4.14429679	116.36710000	1.08050800
-4.14173679	116.36710000	1.12537000
-4.13917679	111.89610000	1.12537000
-4.13661679	107.40990000	1.12537000
-4.13405679	102.92370000	1.17008000
-4.13149679	102.92370000	1.17008000
-4.12893679	98.43745000	1.17008000
-4.12637679	93.96648000	1.21494200
-4.12381679	89.48026000	1.21494200
-4.12125679	89.48026000	1.21494200
-4.11869679	84.99404000	1.25965100
-4.11613679	84.99404000	1.25965100
-4.11357679	80.52309000	1.30451400
-4.11101679	80.52309000	1.30451400
-4.10845679	76.03686000	1.30451400
-4.10589679	76.03686000	1.34937600
-4.10333679	67.07968000	1.34937600
-4.10077679	67.07968000	1.39408600
-4.09821679	62.59346000	1.39408600
-4.09565679	62.59346000	1.43894800
-4.09309679	53.62102000	1.39408600
-4.09053679	53.62102000	1.48365700
-4.08797679	49.15006000	1.43894800
-4.08541679	49.15006000	1.48365700
-4.08285679	44.66384000	1.48365700
-4.08029679	40.17762000	1.52852000
-4.07773679	40.17762000	1.48365700
-4.07517679	35.70665000	1.57322900
-4.07261679	35.70665000	1.57322900
-4.07005679	26.73421000	1.57322900
-4.06749679	22.26325000	1.61809100
-4.06493679	17.79229000	1.66280100
-4.06237679	17.79229000	1.66280100
-4.05981679	17.79229000	1.70766300
-4.05725679	13.30607000	1.75237300
-4.05469679	13.30607000	1.79723500
-4.05213679	8.81984900	1.79723500
-4.04957679	8.81984900	1.84194500
-4.04701679	-0.13733330	1.84194500
-4.04445679	-0.13733330	1.84194500
-4.04189679	-0.13733330	1.93151600
-4.03933679	-4.62355400	1.93151600
-4.03677679	-9.09451500	1.93151600
-4.03421679	-13.58074000	1.93151600
-4.03165679	-13.58074000	1.97637900
-4.02909679	-18.06696000	2.02108800
-4.02653679	-22.55318000	2.02108800
-4.02397679	-27.02414000	2.06595000
-4.02141679	-27.02414000	2.06595000
-4.01885679	-31.51036000	2.06595000
-4.01629679	-35.99658000	2.11081300
-4.01373679	-40.46754000	2.15552200
-4.01117679	-44.95376000	2.20038500
-4.00861679	-44.95376000	2.20038500
-4.00605679	-49.43998000	2.20038500
-4.00349679	-53.91095000	2.24509400
-4.00093679	-53.91095000	2.24509400
-3.99837679	-58.39716000	2.28995600
-3.99581679	-58.39716000	2.28995600
-3.99325679	-67.36961000	2.33466600
-3.99069679	-67.36961000	2.33466600
-3.98813679	-71.84057000	2.42423800
-3.98557679	-71.84057000	2.42423800
-3.98301679	-76.32679000	2.46910000
-3.98045679	-80.81301000	2.46910000
-3.97789679	-80.81301000	2.55867200
-3.97533679	-85.28397000	2.55867200
-3.97277679	-89.77020000	2.55867200
-3.97021679	-85.28397000	2.55867200
-3.96765679	-89.77020000	2.60338100
-3.96509679	-89.77020000	2.60338100
-3.96253679	-94.25641000	2.64824400
-3.95997679	-94.25641000	2.64824400
-3.95741679	-98.72737000	2.64824400
-3.95485679	-103.21360000	2.69295300
-3.95229679	-107.69980000	2.73781500
-3.94973679	-107.69980000	2.78267800
-3.94717679	-112.18600000	2.78267800
-3.94461679	-112.18600000	2.87225000
-3.94205679	-116.65700000	2.87225000
-3.93949679	-116.65700000	2.82738700
-3.93693679	-121.14320000	2.91695900
-3.93437679	-125.62940000	2.91695900
-3.93181679	-125.62940000	2.96182100
-3.92925679	-130.10040000	2.96182100
-3.92669679	-134.58660000	3.00653100
-3.92413679	-130.10040000	3.00653100
-3.92157679	-134.58660000	3.09610300
-3.91901679	-139.07280000	3.14096500
-3.91645679	-139.07280000	3.14096500
-3.91389679	-134.58660000	3.18567500
-3.91133679	-143.55910000	3.23053700
-3.90877679	-143.55910000	3.23053700
-3.90621679	-152.51620000	3.27524600
-3.90365679	-148.03000000	3.27524600
-3.90109679	-148.03000000	3.27524600
-3.89853679	-152.51620000	3.32010900
-3.89597679	-152.51620000	3.32010900
-3.89341679	-157.00250000	3.36481800
-3.89085679	-157.00250000	3.40968000
-3.88829679	-161.47340000	3.36481800
-3.88573679	-161.47340000	3.45439000
-3.88317679	-161.47340000	3.40968000
-3.88061679	-165.95960000	3.40968000
-3.87805679	-165.95960000	3.45439000
-3.87549679	-165.95960000	3.49925200
-3.87293679	-165.95960000	3.49925200
-3.87037679	-170.44590000	3.54411500
-3.86781679	-170.44590000	3.54411500
-3.86525679	-170.44590000	3.58882400
-3.86269679	-165.95960000	3.58882400
-3.86013679	-174.91680000	3.63368600
-3.85757679	-174.91680000	3.63368600
-3.85501679	-179.40300000	3.63368600
-3.85245679	-174.91680000	3.67839600
-3.84989679	-179.40300000	3.72325800
-3.84733679	-179.40300000	3.72325800
-3.84477679	-179.40300000	3.76796800
-3.84221679	-179.40300000	3.76796800
-3.83965679	-183.88930000	3.76796800
-3.83709679	-183.88930000	3.76796800
-3.83453679	-188.37550000	3.81283000
-3.83197679	-183.88930000	3.81283000
-3.82941679	-183.88930000	3.81283000
-3.82685679	-183.88930000	3.85754000
-3.82429679	-188.37550000	3.85754000
-3.82173679	-183.88930000	3.90240200
-3.81917679	-183.88930000	3.90240200
-3.81661679	-188.37550000	3.94711100
-3.81405679	-188.37550000	3.94711100
-3.81149679	-188.37550000	3.99197400
-3.80893679	-188.37550000	3.99197400
-3.80637679	-188.37550000	3.99197400
-3.80381679	-188.37550000	3.99197400
-3.80125679	-188.37550000	3.94711100
-3.79869679	-188.37550000	4.03668300
-3.79613679	-188.37550000	4.03668300
-3.79357679	-188.37550000	4.03668300
-3.79101679	-183.88930000	4.03668300
-3.78845679	-188.37550000	4.03668300
-3.78589679	-183.88930000	4.03668300
-3.78333679	-183.88930000	4.03668300
-3.78077679	-188.37550000	4.08154500
-3.77821679	-179.40300000	4.08154500
-3.77565679	-183.88930000	4.08154500
-3.77309679	-183.88930000	4.08154500
-3.77053679	-179.40300000	4.08154500
-3.76797679	-179.40300000	4.08154500
-3.76541679	-179.40300000	4.12625500
-3.76285679	-179.40300000	4.17111700
-3.76029679	-174.91680000	4.17111700
-3.75773679	-174.91680000	4.17111700
-3.75517679	-174.91680000	4.17111700
-3.75261679	-174.91680000	4.21598000
-3.75005679	-174.91680000	4.21598000
-3.74749679	-174.91680000	4.17111700
-3.74493679	-170.44590000	4.17111700
-3.74237679	-170.44590000	4.21598000
-3.73981679	-165.95960000	4.17111700
-3.73725679	-170.44590000	4.17111700
-3.73469679	-165.95960000	4.17111700
-3.73213679	-165.95960000	4.17111700
-3.72957679	-165.95960000	4.17111700
-3.72701679	-161.47340000	4.21598000
-3.72445679	-161.47340000	4.17111700
-3.72189680	-161.47340000	4.17111700
-3.71933680	-152.51620000	4.12625500
-3.71677680	-157.00250000	4.17111700
-3.71421680	-157.00250000	4.17111700
-3.71165680	-152.51620000	4.17111700
-3.70909680	-152.51620000	4.17111700
-3.70653680	-143.55910000	4.12625500
-3.70397680	-148.03000000	4.12625500
-3.70141680	-143.55910000	4.08154500
-3.69885680	-143.55910000	4.08154500
-3.69629680	-139.07280000	4.08154500
-3.69373680	-139.07280000	4.08154500
-3.69117680	-134.58660000	4.08154500
-3.68861680	-134.58660000	4.08154500
-3.68605680	-130.10040000	4.03668300
-3.68349680	-130.10040000	4.03668300
-3.68093680	-125.62940000	4.03668300
-3.67837680	-125.62940000	4.03668300
-3.67581680	-121.14320000	4.03668300
-3.67325680	-121.14320000	4.03668300
-3.67069680	-116.65700000	4.03668300
-3.66813680	-116.65700000	3.99197400
-3.66557680	-112.18600000	4.03668300
-3.66301680	-112.18600000	4.03668300
-3.66045680	-107.69980000	3.99197400
-3.65789680	-103.21360000	3.99197400
-3.65533680	-103.21360000	3.99197400
-3.65277680	-98.72737000	3.99197400
-3.65021680	-98.72737000	3.99197400
-3.64765680	-94.25641000	3.99197400
-3.64509680	-94.25641000	3.94711100
-3.64253680	-89.77020000	3.90240200
-3.63997680	-85.28397000	3.94711100
-3.63741680	-89.77020000	3.94711100
-3.63485680	-85.28397000	3.90240200
-3.63229680	-80.81301000	3.90240200
-3.62973680	-76.32679000	3.85754000
-3.62717680	-71.84057000	3.85754000
-3.62461680	-76.32679000	3.85754000
-3.62205680	-71.84057000	3.81283000
-3.61949680	-67.36961000	3.81283000
-3.61693680	-62.88339000	3.81283000
-3.61437680	-58.39716000	3.76796800
-3.61181680	-53.91095000	3.72325800
-3.60925680	-53.91095000	3.72325800
-3.60669680	-49.43998000	3.72325800
-3.60413680	-49.43998000	3.67839600
-3.60157680	-44.95376000	3.67839600
-3.59901680	-40.46754000	3.63368600
-3.59645680	-35.99658000	3.63368600
-3.59389680	-31.51036000	3.58882400
-3.59133680	-31.51036000	3.58882400
-3.58877680	-27.02414000	3.58882400
-3.58621680	-27.02414000	3.49925200
-3.58365680	-18.06696000	3.49925200
-3.58109680	-22.55318000	3.45439000
-3.57853680	-13.58074000	3.45439000
-3.57597680	-13.58074000	3.40968000
-3.57341680	-9.09451500	3.40968000
-3.57085680	-4.62355400	3.36481800
-3.56829680	-4.62355400	3.36481800
-3.56573680	-0.13733330	3.36481800
-3.56317680	8.81984900	3.32010900
-3.56061680	13.30607000	3.27524600
-3.55805680	13.30607000	3.27524600
-3.55549680	13.30607000	3.27524600
-3.55293680	13.30607000	3.23053700
-3.55037680	17.79229000	3.23053700
-3.54781680	22.26325000	3.23053700
-3.54525680	22.26325000	3.18567500
-3.54269680	26.73421000	3.14096500
-3.54013680	31.22043000	3.14096500
-3.53757680	35.70665000	3.09610300
-3.53501680	35.70665000	3.09610300
-3.53245680	40.17762000	3.05139300
-3.52989680	49.15006000	3.00653100
-3.52733680	44.66384000	3.00653100
-3.52477680	49.15006000	3.00653100
-3.52221680	53.62102000	2.96182100
-3.51965680	58.10724000	2.91695900
-3.51709680	58.10724000	2.91695900
-3.51453680	62.59346000	2.91695900
-3.51197680	62.59346000	2.87225000
-3.50941680	76.03686000	2.82738700
-3.50685680	67.07968000	2.82738700
-3.50429680	76.03686000	2.78267800
-3.50173680	76.03686000	2.73781500
-3.49917680	80.52309000	2.73781500
-3.49661680	84.99404000	2.73781500
-3.49405680	80.52309000	2.64824400
-3.49149680	89.48026000	2.64824400
-3.48893680	93.96648000	2.60338100
-3.48637680	93.96648000	2.60338100
-3.48381680	98.43745000	2.55867200
-3.48125680	98.43745000	2.55867200
-3.47869680	102.92370000	2.51381000
-3.47613680	107.40990000	2.51381000
-3.47357680	111.89610000	2.46910000
-3.47101680	111.89610000	2.46910000
-3.46845680	116.36710000	2.42423800
-3.46589680	120.85330000	2.37952800
-3.46333680	120.85330000	2.33466600
-3.46077680	120.85330000	2.33466600
-3.45821680	125.33950000	2.28995600
-3.45565680	125.33950000	2.28995600
-3.45309680	129.81050000	2.28995600
-3.45053680	129.81050000	2.20038500
-3.44797680	129.81050000	2.24509400
-3.44541680	138.78290000	2.20038500
-3.44285680	138.78290000	2.11081300
-3.44029680	143.25390000	2.11081300
-3.43773680	143.25390000	2.11081300
-3.43517680	147.74010000	2.06595000
-3.43261680	147.74010000	2.02108800
-3.43005680	152.22630000	2.02108800
-3.42749680	152.22630000	1.97637900
-3.42493680	161.18350000	1.93151600
-3.42237680	156.71250000	1.93151600
-3.41981680	161.18350000	1.93151600
-3.41725680	161.18350000	1.88680700
-3.41469680	165.66970000	1.88680700
-3.41213680	165.66970000	1.84194500
-3.40957680	165.66970000	1.84194500
-3.40701680	170.15590000	1.79723500
-3.40445680	174.62690000	1.79723500
-3.40189680	174.62690000	1.79723500
-3.39933680	179.11310000	1.70766300
-3.39677680	179.11310000	1.70766300
-3.39421680	179.11310000	1.70766300
-3.39165680	183.59930000	1.61809100
-3.38909680	183.59930000	1.61809100
-3.38653680	188.08560000	1.57322900
-3.38397680	183.59930000	1.57322900
-3.38141680	188.08560000	1.52852000
-3.37885680	192.55650000	1.52852000
-3.37629680	188.08560000	1.48365700
-3.37373680	192.55650000	1.48365700
-3.37117680	192.55650000	1.43894800
-3.36861680	197.04280000	1.48365700
-3.36605680	197.04280000	1.43894800
-3.36349680	197.04280000	1.39408600
-3.36093680	197.04280000	1.39408600
-3.35837680	201.52900000	1.39408600
-3.35581680	201.52900000	1.34937600
-3.35325680	201.52900000	1.34937600
-3.35069680	205.99990000	1.30451400
-3.34813680	201.52900000	1.30451400
-3.34557680	205.99990000	1.30451400
-3.34301680	205.99990000	1.30451400
-3.34045680	205.99990000	1.25965100
-3.33789680	205.99990000	1.21494200
-3.33533680	201.52900000	1.21494200
-3.33277680	205.99990000	1.21494200
-3.33021680	210.48610000	1.21494200
-3.32765680	210.48610000	1.21494200
-3.32509680	210.48610000	1.21494200
-3.32253680	210.48610000	1.17008000
-3.31997680	210.48610000	1.17008000
-3.31741680	210.48610000	1.17008000
-3.31485680	210.48610000	1.12537000
-3.31229680	205.99990000	1.12537000
-3.30973680	205.99990000	1.12537000
-3.30717680	210.48610000	1.12537000
-3.30461680	210.48610000	1.08050800
-3.30205680	210.48610000	1.08050800
-3.29949680	210.48610000	1.03579800
-3.29693680	210.48610000	0.99093600
-3.29437680	205.99990000	0.99093600
-3.29181680	205.99990000	1.03579800
-3.28925680	210.48610000	0.99093600
