time	V(out)
0.000000000000000e+00	1.861576e-19
2.420386113755058e-11	1.908195e-09
2.744461902395225e-11	2.196599e-09
3.392613479675561e-11	2.943887e-09
4.688916634236232e-11	5.205545e-09
7.281522943357573e-11	1.315449e-08
1.246673556160026e-10	3.878059e-08
1.776808591476621e-10	7.557046e-08
2.471031559262815e-10	1.332872e-07
3.283235233177080e-10	1.996348e-07
4.711636094967067e-10	2.911634e-07
6.942751575148331e-10	3.703262e-07
1.140498253551086e-09	4.200301e-07
4.651246684634079e-09	4.626025e-07
7.217439317557140e-09	6.577495e-07
9.025674935681865e-09	1.056130e-06
1.010511550140624e-08	1.460833e-06
1.129869711107149e-08	2.097492e-06
1.269071257784914e-08	3.142124e-06
1.426793391335958e-08	4.787987e-06
1.612203459304429e-08	7.440912e-06
1.827699917163067e-08	1.159549e-05
2.085997136083848e-08	1.809834e-05
2.362943986936801e-08	2.672798e-05
2.588064761359497e-08	3.497570e-05
2.826209476917813e-08	4.473070e-05
3.078437563382741e-08	5.573912e-05
3.356064199044695e-08	6.808463e-05
3.661727799789346e-08	8.114096e-05
4.007781914074398e-08	9.415069e-05
4.402946653627587e-08	1.053405e-04
4.867981090304338e-08	1.120556e-04
5.429932242499959e-08	1.100443e-04
6.148313564404905e-08	9.331112e-05
7.126694519528392e-08	5.426220e-05
8.620609870592284e-08	-2.286600e-05
1.067904675420461e-07	-1.656467e-04
1.355795073613044e-07	-4.659306e-04
1.692341446572146e-07	-9.768090e-04
2.122608182346955e-07	-1.854853e-03
2.691160093476241e-07	-3.345869e-03
3.421197639070323e-07	-5.739286e-03
4.435264616628182e-07	-9.731496e-03
5.438570348122058e-07	-1.443356e-02
7.445181811109809e-07	-2.536023e-02
9.327517824312650e-07	-3.701254e-02
1.270180689486786e-06	-6.018357e-02
1.623752306175283e-06	-8.610941e-02
2.104411285976947e-06	-1.227518e-01
2.619016321384592e-06	-1.623724e-01
3.379268143668677e-06	-2.201696e-01
4.305643961601862e-06	-2.874600e-01
5.873052999433145e-06	-3.901046e-01
8.103446694883089e-06	-5.112522e-01
1.008238642561351e-05	-5.931228e-01
1.094034947771725e-05	-6.173818e-01
1.178853401051892e-05	-6.317084e-01
1.284305853612218e-05	-6.397043e-01
1.380854181204949e-05	-6.362456e-01
1.537702269108093e-05	-6.083919e-01
1.752591107035953e-05	-5.386888e-01
1.905371724439091e-05	-4.674662e-01
2.032762878795582e-05	-3.925831e-01
2.179070161247672e-05	-2.932076e-01
2.366834848460896e-05	-1.527678e-01
2.562974786706004e-05	1.540988e-03
