Fréquence	Canal B
(kHz)	(dBm)

3.70144844	-37.52420000
3.70740891	-36.57269000
3.71336937	-35.54515000
3.71932983	-33.17341000
3.72529030	-31.92515000
3.73125076	-30.28849000
3.73721123	-33.84393000
3.74317169	-35.00596000
3.74913216	-36.44138000
3.75509262	-36.29955000
3.76105309	-37.74992000
3.76701355	-36.07681000
3.77297401	-34.37812000
3.77893448	-33.38446000
3.78489494	-34.23271000
3.79085541	-37.24417000
3.79681587	-41.66324000
3.80277634	-42.49522000
3.80873680	-34.81293000
3.81469727	-31.73817000
3.82065773	-36.15569000
3.82661819	-39.35975000
3.83257866	-39.63695000
3.83853912	-39.58741000
3.84449959	-39.12501000
3.85046005	-40.17853000
3.85642052	-39.12868000
3.86238098	-39.00060000
3.86834145	-36.82460000
3.87430191	-35.86495000
3.88026237	-35.07648000
3.88622284	-36.68095000
3.89218330	-37.08163000
3.89814377	-38.02319000
3.90410423	-36.90411000
3.91006470	-35.77526000
3.91602516	-35.01980000
3.92198563	-35.65823000
3.92794609	-38.40345000
3.93390656	-39.57867000
3.93986702	-37.05522000
3.94582748	-37.70712000
3.95178795	-35.46249000
3.95774841	-36.73683000
3.96370888	-34.56062000
3.96966934	-34.94065000
3.97562981	-35.88970000
3.98159027	-39.03534000
3.98755074	-36.91097000
3.99351120	-37.79692000
3.99947166	-36.42827000
4.00543213	-36.43089000
4.01139259	-35.85449000
4.01735306	-35.36463000
4.02331352	-36.25633000
4.02927399	-36.84264000
4.03523445	-34.85833000
4.04119492	-34.69105000
4.04715538	-36.44830000
4.05311584	-36.13562000
4.05907631	-36.06506000
4.06503677	-38.23738000
4.07099724	-37.75237000
4.07695770	-38.91032000
4.08291817	-37.17238000
4.08887863	-35.11494000
4.09483910	-35.91168000
4.10079956	-36.92480000
4.10676003	-36.09091000
4.11272049	-37.31134000
4.11868095	-34.57327000
4.12464142	-31.22949000
4.13060188	-29.55547000
4.13656235	-31.40559000
4.14252281	-39.03444000
4.14848328	-38.67168000
4.15444374	-37.27301000
4.16040421	-34.12910000
4.16636467	-34.46409000
4.17232513	-36.87939000
4.17828560	-37.82018000
4.18424606	-37.83052000
4.19020653	-37.51770000
4.19616699	-36.28587000
4.20212746	-36.25880000
4.20808792	-37.95373000
4.21404839	-38.36146000
4.22000885	-37.97560000
4.22596931	-38.03164000
4.23192978	-37.91935000
4.23789024	-38.19590000
4.24385071	-40.01396000
4.24981117	-41.64114000
4.25577164	-41.09806000
4.26173210	-40.62426000
4.26769257	-41.42203000
4.27365303	-37.11976000
4.27961349	-37.25566000
4.28557396	-41.07308000
4.29153442	-40.19600000
4.29749489	-39.61787000
4.30345535	-39.61971000
4.30941582	-41.82237000
4.31537628	-41.86567000
4.32133675	-39.39939000
4.32729721	-38.58387000
4.33325768	-38.25898000
4.33921814	-39.28400000
4.34517860	-42.27246000
4.35113907	-40.60475000
4.35709953	-39.24900000
4.36306000	-37.57471000
4.36902046	-38.67841000
4.37498093	-38.03316000
4.38094139	-39.35774000
4.38690186	-41.05540000
4.39286232	-43.26765000
4.39882278	-43.92261000
4.40478325	-41.57448000
4.41074371	-39.15607000
4.41670418	-37.11416000
4.42266464	-40.12802000
4.42862511	-41.29459000
4.43458557	-40.10154000
4.44054604	-39.92186000
4.44650650	-36.40012000
4.45246696	-33.61438000
4.45842743	-33.47901000
4.46438789	-37.64748000
4.47034836	-40.84199000
4.47630882	-43.81226000
4.48226929	-41.46083000
4.48822975	-40.86247000
4.49419022	-43.47417000
4.50015068	-42.84934000
4.50611115	-39.82538000
4.51207161	-37.05702000
4.51803207	-37.36196000
4.52399254	-39.76621000
4.52995300	-37.17450000
4.53591347	-35.96890000
4.54187393	-36.91843000
4.54783440	-38.90368000
4.55379486	-38.20100000
4.55975533	-40.18255000
4.56571579	-38.76897000
4.57167625	-39.10606000
4.57763672	-40.94503000
4.58359718	-44.75412000
4.58955765	-44.07144000
4.59551811	-38.05962000
4.60147858	-37.97314000
4.60743904	-40.70772000
4.61339951	-40.54356000
4.61935997	-39.26793000
4.62532043	-40.34999000
4.63128090	-36.75656000
4.63724136	-33.64877000
4.64320183	-36.08622000
4.64916229	-37.13393000
4.65512276	-39.24387000
4.66108322	-37.43845000
4.66704369	-36.50343000
4.67300415	-37.04250000
4.67896461	-38.91068000
4.68492508	-37.04094000
4.69088554	-37.95968000
4.69684601	-39.16245000
4.70280647	-39.98970000
4.70876694	-39.57914000
4.71472740	-40.86255000
4.72068787	-41.03023000
4.72664833	-39.60793000
4.73260880	-39.31420000
4.73856926	-41.62025000
4.74452972	-44.59471000
4.75049019	-42.67710000
4.75645065	-42.70467000
4.76241112	-44.30873000
4.76837158	-44.49188000
4.77433205	-43.79169000
4.78029251	-41.13267000
4.78625298	-40.00848000
4.79221344	-39.88184000
4.79817390	-37.81612000
4.80413437	-40.52578000
4.81009483	-41.80771000
4.81605530	-42.38326000
4.82201576	-41.32480000
4.82797623	-41.59234000
4.83393669	-41.25159000
4.83989716	-40.06797000
4.84585762	-42.22061000
4.85181808	-41.14687000
4.85777855	-38.40340000
4.86373901	-38.72495000
4.86969948	-40.57320000
4.87565994	-43.79470000
4.88162041	-40.59899000
4.88758087	-37.53438000
4.89354134	-37.52982000
4.89950180	-40.28307000
4.90546227	-41.46836000
4.91142273	-43.10821000
4.91738319	-44.84852000
4.92334366	-42.17497000
4.92930412	-40.19379000
4.93526459	-38.28767000
4.94122505	-39.03988000
4.94718552	-40.04086000
4.95314598	-38.08946000
4.95910645	-35.91496000
4.96506691	-38.01308000
4.97102737	-35.80995000
4.97698784	-35.70740000
4.98294830	-36.63587000
4.98890877	-35.80979000
4.99486923	-35.93925000
5.00082970	-35.64172000
5.00679016	-39.60404000
5.01275063	-38.55499000
5.01871109	-38.59159000
5.02467155	-40.71006000
5.03063202	-40.53569000
5.03659248	-41.19100000
5.04255295	-41.51438000
5.04851341	-42.76806000
5.05447388	-41.37294000
5.06043434	-40.54634000
5.06639481	-41.26482000
5.07235527	-42.72518000
5.07831573	-41.48444000
5.08427620	-40.82365000
5.09023666	-39.54196000
5.09619713	-38.37239000
5.10215759	-38.35604000
5.10811806	-40.44356000
5.11407852	-38.19712000
5.12003899	-35.72833000
5.12599945	-35.11209000
5.13195992	-36.97399000
5.13792038	-38.09848000
5.14388084	-38.59893000
5.14984131	-37.62168000
5.15580177	-37.00786000
5.16176224	-37.02851000
5.16772270	-38.86609000
5.17368317	-39.95287000
5.17964363	-42.92393000
5.18560410	-43.26653000
5.19156456	-41.95312000
5.19752502	-39.35395000
5.20348549	-39.97795000
5.20944595	-39.97153000
5.21540642	-42.83614000
5.22136688	-41.98647000
5.22732735	-40.04991000
5.23328781	-39.62698000
5.23924828	-40.19150000
5.24520874	-41.75377000
5.25116920	-40.42434000
5.25712967	-39.86984000
5.26309013	-41.15843000
5.26905060	-41.35717000
5.27501106	-41.81860000
5.28097153	-41.61341000
5.28693199	-41.00597000
5.29289246	-42.04989000
5.29885292	-41.55597000
5.30481339	-40.04910000
5.31077385	-39.69309000
5.31673431	-41.28504000
5.32269478	-44.64342000
5.32865524	-42.84630000
5.33461571	-43.00372000
5.34057617	-44.99029000
5.34653664	-45.52496000
5.35249710	-46.75187000
5.35845757	-44.07085000
5.36441803	-45.20514000
5.37037849	-46.70117000
5.37633896	-47.75055000
5.38229942	-45.92348000
5.38825989	-45.31258000
5.39422035	-43.11205000
5.40018082	-43.44412000
5.40614128	-43.65694000
5.41210175	-43.62909000
5.41806221	-45.07665000
5.42402267	-44.43011000
5.42998314	-44.28719000
5.43594360	-41.52449000
5.44190407	-39.56219000
5.44786453	-38.88708000
5.45382500	-40.50595000
5.45978546	-40.82180000
5.46574593	-39.82725000
5.47170639	-37.79183000
5.47766685	-37.53611000
5.48362732	-36.25592000
5.48958778	-35.64236000
5.49554825	-32.81165000
5.50150871	-34.09581000
5.50746918	-38.89644000
5.51342964	-43.84444000
5.51939011	-44.13903000
5.52535057	-41.75739000
5.53131104	-41.03822000
5.53727150	-41.76067000
5.54323196	-43.72323000
5.54919243	-43.45894000
5.55515289	-44.53846000
5.56111336	-46.01455000
5.56707382	-46.24523000
5.57303429	-43.97747000
5.57899475	-42.97419000
5.58495522	-43.61578000
5.59091568	-43.07581000
5.59687614	-42.66910000
5.60283661	-41.67287000
5.60879707	-45.10499000
5.61475754	-44.75597000
5.62071800	-43.52877000
5.62667847	-42.14043000
5.63263893	-43.55445000
5.63859940	-43.74100000
5.64455986	-43.44388000
5.65052032	-45.78957000
5.65648079	-48.06241000
5.66244125	-47.71317000
5.66840172	-45.87120000
5.67436218	-40.92196000
5.68032265	-40.99020000
5.68628311	-45.18683000
5.69224358	-49.04490000
5.69820404	-49.77792000
5.70416451	-49.15057000
5.71012497	-46.36541000
5.71608543	-46.15567000
5.72204590	-45.73325000
5.72800636	-44.74477000
5.73396683	-45.71244000
5.73992729	-45.36107000
5.74588776	-42.80130000
5.75184822	-42.64065000
5.75780869	-45.90363000
5.76376915	-47.48739000
5.76972961	-47.04584000
5.77569008	-46.97109000
5.78165054	-49.71576000
5.78761101	-49.53083000
5.79357147	-45.49284000
5.79953194	-45.28326000
5.80549240	-48.45325000
5.81145287	-47.74503000
5.81741333	-46.60682000
5.82337379	-44.41801000
5.82933426	-50.17745000
5.83529472	-49.66114000
5.84125519	-50.04444000
5.84721565	-50.05305000
5.85317612	-46.62915000
5.85913658	-44.24170000
5.86509705	-42.90775000
5.87105751	-46.53360000
5.87701797	-50.95418000
5.88297844	-48.32714000
5.88893890	-50.51368000
5.89489937	-49.63039000
5.90085983	-45.85172000
5.90682030	-45.21975000
5.91278076	-45.14725000
5.91874123	-45.03699000
5.92470169	-46.33628000
5.93066216	-41.97014000
5.93662262	-41.31429000
5.94258308	-42.32861000
5.94854355	-41.25710000
5.95450401	-41.40777000
5.96046448	-43.06709000
5.96642494	-40.56988000
5.97238541	-37.76413000
5.97834587	-37.98910000
5.98430634	-40.19715000
5.99026680	-44.59315000
5.99622726	-43.14738000
6.00218773	-43.16948000
6.00814819	-44.12277000
6.01410866	-47.25978000
6.02006912	-46.40371000
6.02602959	-47.61826000
6.03199005	-48.87297000
6.03795052	-45.08033000
6.04391098	-42.06606000
6.04987144	-41.19490000
6.05583191	-40.79842000
6.06179237	-41.66722000
6.06775284	-39.72333000
6.07371330	-38.43082000
6.07967377	-40.93441000
6.08563423	-49.24400000
6.09159470	-50.82797000
6.09755516	-51.32640000
6.10351563	-50.93035000
6.10947609	-52.08352000
6.11543655	-51.93184000
6.12139702	-53.69215000
6.12735748	-55.23007000
6.13331795	-53.68302000
6.13927841	-52.10434000
6.14523888	-51.14005000
6.15119934	-49.85379000
6.15715981	-47.43534000
6.16312027	-48.82204000
6.16908073	-49.12857000
6.17504120	-49.52162000
6.18100166	-51.26214000
6.18696213	-51.04177000
6.19292259	-49.20116000
6.19888306	-48.00646000
6.20484352	-50.85503000
6.21080399	-52.83804000
6.21676445	-48.19920000
6.22272491	-49.18274000
6.22868538	-46.25798000
6.23464584	-46.75094000
6.24060631	-44.91253000
6.24656677	-46.34036000
6.25252724	-47.29881000
6.25848770	-49.07249000
6.26444817	-47.76703000
6.27040863	-48.64284000
6.27636909	-51.32948000
6.28232956	-51.26484000
6.28829002	-47.22113000
6.29425049	-45.62033000
6.30021095	-47.41497000
6.30617142	-46.43124000
6.31213188	-44.64050000
6.31809235	-42.78308000
6.32405281	-43.65140000
6.33001328	-46.40950000
6.33597374	-49.86416000
6.34193420	-51.30283000
6.34789467	-51.23792000
6.35385513	-51.55579000
6.35981560	-53.67952000
6.36577606	-54.54376000
6.37173653	-55.68482000
6.37769699	-56.23447000
