time	I(R10)
0.000000000000000e+00	-7.173895e-05
2.420386113755058e-11	-7.183860e-05
4.516569610660061e-11	-7.185591e-05
1.709367059209009e-10	-7.165334e-05
8.765520041792391e-10	-7.132179e-05
1.582167302437577e-09	-7.105840e-05
2.287782600695916e-09	-7.086317e-05
2.993397898954254e-09	-7.073609e-05
3.699013197212592e-09	-7.067716e-05
4.404628495470931e-09	-7.068639e-05
5.110243793729267e-09	-7.076377e-05
2.251495940974176e-08	-7.074485e-05
3.847277200589830e-08	-7.112166e-05
6.100232536044751e-08	-7.147527e-05
7.584101459908338e-08	-7.159961e-05
9.305994752031996e-08	-7.168098e-05
1.201181348372613e-07	-7.174629e-05
1.653130151031835e-07	-7.179084e-05
2.124674016845290e-07	-7.179389e-05
2.761154636668609e-07	-7.175907e-05
3.605502439360055e-07	-7.166780e-05
6.228202573370880e-07	-7.110769e-05
8.101434327083687e-07	-7.041808e-05
1.041092577925400e-06	-6.920948e-05
1.502990868359463e-06	-6.585581e-05
1.960669196431775e-06	-6.145769e-05
2.365149450372291e-06	-5.650860e-05
2.781835206678642e-06	-5.034727e-05
3.201756823891474e-06	-4.283464e-05
4.041600058317139e-06	-2.452389e-05
5.003744499226209e-06	1.760725e-06
6.539385219214707e-06	5.609034e-05
8.763723335775500e-06	1.574283e-04
1.118410946486156e-05	2.968008e-04
1.360449559394763e-05	4.675625e-04
1.602488172303369e-05	6.695659e-04
1.844526785211975e-05	8.989217e-04
1.985055415287089e-05	1.045904e-03
2.131423914781732e-05	1.211446e-03
2.282871921434061e-05	1.395307e-03
2.524910534342667e-05	1.711787e-03
2.766949147251273e-05	2.053112e-03
3.008987760159880e-05	2.421217e-03
3.251026373068486e-05	2.815389e-03
3.493064985977092e-05	3.234928e-03
3.735103598885698e-05	3.679151e-03
3.977142211794305e-05	4.147386e-03
4.461219437611517e-05	5.153279e-03
4.945296663428730e-05	6.247498e-03
5.429373889245942e-05	7.425126e-03
5.913451115063155e-05	8.681414e-03
6.639566953788972e-05	1.070334e-02
7.365682792514789e-05	1.287708e-02
8.091798631240605e-05	1.518841e-02
8.817914469966422e-05	1.762372e-02
9.682338087497157e-05	2.071421e-02
1.054676170502789e-04	2.389220e-02
1.141118532255863e-04	2.715768e-02
1.227560894008936e-04	3.051066e-02
1.314003255762010e-04	3.395114e-02
1.400445617515083e-04	3.747912e-02
1.486887979268156e-04	4.109459e-02
1.604449591252336e-04	4.607593e-02
1.722011203236516e-04	5.097153e-02
1.839572815220696e-04	5.578137e-02
1.957134427204876e-04	6.050546e-02
2.074696039189056e-04	6.514379e-02
2.192257651173235e-04	6.969638e-02
2.309819263157415e-04	7.416321e-02
2.410092402790980e-04	7.778004e-02
2.510365542424546e-04	8.119589e-02
2.610638682058111e-04	8.441074e-02
2.710911821691676e-04	8.742459e-02
2.811184961325241e-04	9.023746e-02
2.911458100958806e-04	9.284933e-02
3.011731240592371e-04	9.526020e-02
3.091258213405199e-04	9.698006e-02
3.170785186218027e-04	9.853013e-02
3.250312159030854e-04	9.991041e-02
3.329839131843681e-04	1.011209e-01
3.409366104656509e-04	1.021616e-01
3.488893077469336e-04	1.030325e-01
3.568420050282164e-04	1.037337e-01
3.689439356736467e-04	1.044391e-01
3.810458663190770e-04	1.047215e-01
3.931477969645072e-04	1.045810e-01
4.052497276099375e-04	1.040174e-01
4.173516582553678e-04	1.030309e-01
4.294535889007981e-04	1.016214e-01
4.415555195462284e-04	9.978892e-02
4.484709084864742e-04	9.855768e-02
4.553862974267201e-04	9.720354e-02
4.623016863669660e-04	9.572650e-02
4.692170753072119e-04	9.412657e-02
4.761324642474577e-04	9.240374e-02
4.830478531877036e-04	9.055802e-02
4.899632421279495e-04	8.858940e-02
4.948040143861217e-04	8.714987e-02
4.972244005152078e-04	8.641148e-02
4.985442223987214e-04	8.600338e-02
4.996984521714849e-04	8.564258e-02
5.024586762450564e-04	8.476806e-02
5.043171667652459e-04	8.416911e-02
5.061756572854356e-04	8.356278e-02
5.080341478056251e-04	8.294908e-02
5.098926383258148e-04	8.232799e-02
5.117511288460044e-04	8.169953e-02
5.136096193661940e-04	8.106368e-02
5.154681098863836e-04	8.042046e-02
5.227292682736419e-04	7.784453e-02
5.286073488728510e-04	7.567709e-02
5.344854294720601e-04	7.345357e-02
5.403635100712693e-04	7.117398e-02
5.462415906704784e-04	6.883832e-02
5.521196712696875e-04	6.644658e-02
5.579977518688966e-04	6.399877e-02
5.638758324681058e-04	6.149489e-02
5.700996825143272e-04	5.879281e-02
5.763235325605486e-04	5.605489e-02
5.825473826067700e-04	5.328114e-02
5.887712326529915e-04	5.047154e-02
5.949950826992129e-04	4.762611e-02
6.012189327454343e-04	4.474484e-02
6.074427827916557e-04	4.182773e-02
6.153954800729387e-04	3.806113e-02
6.233481773542216e-04	3.429244e-02
6.313008746355045e-04	3.052166e-02
6.392535719167875e-04	2.674879e-02
6.472062691980704e-04	2.297383e-02
6.551589664793533e-04	1.919678e-02
6.631116637606363e-04	1.541764e-02
6.662235887837470e-04	1.395411e-02
6.693355138068577e-04	1.249684e-02
6.724474388299684e-04	1.104585e-02
6.755593638530791e-04	9.601127e-03
6.786712888761898e-04	8.162678e-03
6.817832138993005e-04	6.730501e-03
6.848951389224113e-04	5.304595e-03
6.873155250514974e-04	4.201859e-03
6.921562973096696e-04	2.010624e-03
6.945346626134262e-04	9.410765e-04
6.950467667533624e-04	7.116134e-04
6.955588708932985e-04	4.823678e-04
6.960709750332347e-04	2.533400e-04
6.965830791731708e-04	2.452971e-05
6.970951833131070e-04	-2.040629e-04
6.976072874530432e-04	-4.324379e-04
6.981193915929794e-04	-6.605953e-04
6.989715770558770e-04	-1.040713e-03
6.998138995718950e-04	-1.415118e-03
7.056335763310007e-04	-3.978147e-03
7.114532530901064e-04	-6.491349e-03
7.172729298492121e-04	-8.954722e-03
7.230926066083179e-04	-1.136827e-02
7.289122833674236e-04	-1.373198e-02
7.347319601265292e-04	-1.604587e-02
7.405516368856349e-04	-1.830993e-02
7.505789508489917e-04	-2.208393e-02
7.606062648123484e-04	-2.563142e-02
7.706335787757052e-04	-2.895240e-02
7.806608927390619e-04	-3.204687e-02
7.906882067024186e-04	-3.491484e-02
8.007155206657754e-04	-3.755630e-02
8.107428346291321e-04	-3.997125e-02
8.186955319104151e-04	-4.168389e-02
8.266482291916980e-04	-4.321862e-02
8.346009264729809e-04	-4.457545e-02
8.425536237542639e-04	-4.575437e-02
8.505063210355468e-04	-4.675539e-02
8.584590183168297e-04	-4.757851e-02
8.664117155981126e-04	-4.822373e-02
8.712524878562849e-04	-4.852184e-02
8.760932601144571e-04	-4.875100e-02
8.785136462435432e-04	-4.883968e-02
8.809340323726293e-04	-4.891106e-02
8.833544185017154e-04	-4.896513e-02
8.857748046308015e-04	-4.900189e-02
8.906155768889737e-04	-4.902345e-02
8.954563491471460e-04	-4.897575e-02
9.027175075344043e-04	-4.877455e-02
9.099786659216626e-04	-4.841826e-02
9.172398243089210e-04	-4.790774e-02
9.245009826961793e-04	-4.724419e-02
9.314163716364253e-04	-4.646580e-02
9.383317605766713e-04	-4.555682e-02
9.452471495169174e-04	-4.451724e-02
9.521625384571634e-04	-4.334706e-02
9.590779273974094e-04	-4.204629e-02
9.659933163376555e-04	-4.061492e-02
9.729087052779015e-04	-3.905296e-02
9.801698636651597e-04	-3.728882e-02
9.874310220524180e-04	-3.539479e-02
9.922717943105903e-04	-3.406193e-02
9.946921804396764e-04	-3.337492e-02
9.978597747377310e-04	-3.245864e-02
9.982659051092366e-04	-3.233913e-02
9.986720354807420e-04	-3.221921e-02
9.990781658522475e-04	-3.209887e-02
9.994842962237531e-04	-3.197812e-02
9.998904265952587e-04	-3.185696e-02
1.000296556966764e-03	-3.173538e-02
1.000702687338270e-03	-3.161338e-02
1.002027390211353e-03	-3.121379e-02
1.002733764222351e-03	-3.099931e-02
1.008481359220925e-03	-2.920361e-02
1.014228954219499e-03	-2.734407e-02
1.019976549218073e-03	-2.542070e-02
1.025724144216648e-03	-2.343350e-02
1.031471739215222e-03	-2.138245e-02
1.037219334213796e-03	-1.926757e-02
1.042966929212370e-03	-1.708885e-02
1.047807701470542e-03	-1.521228e-02
1.052648473728714e-03	-1.330347e-02
1.057489245986886e-03	-1.136242e-02
1.062330018245058e-03	-9.389135e-03
1.067170790503231e-03	-7.383610e-03
1.072011562761403e-03	-5.345848e-03
1.076852335019575e-03	-3.275848e-03
1.079272721148661e-03	-2.233478e-03
1.081693107277747e-03	-1.186356e-03
1.082907982503211e-03	-6.583738e-04
1.084379541939706e-03	-1.555542e-05
1.085214165785455e-03	3.499865e-04
1.086048789631205e-03	7.160776e-04
1.086883413476954e-03	1.082718e-03
1.087718037322703e-03	1.449908e-03
1.088552661168453e-03	1.817647e-03
1.089387285014202e-03	2.185935e-03
1.090221908859951e-03	2.554773e-03
1.094426860136588e-03	4.420693e-03
1.101688018523846e-03	7.669805e-03
1.106528790782018e-03	9.853804e-03
1.111369563040190e-03	1.205015e-02
1.113789949169277e-03	1.315237e-02
1.116210335298363e-03	1.425698e-02
1.118630721427449e-03	1.536372e-02
1.121051107556535e-03	1.647236e-02
1.125891879814707e-03	1.869431e-02
1.130732652072879e-03	2.092081e-02
1.137993810460138e-03	2.426464e-02
1.146638046635445e-03	2.827229e-02
1.155282282810753e-03	3.223719e-02
1.163926518986060e-03	3.615933e-02
1.172570755161368e-03	4.003872e-02
1.181214991336675e-03	4.387536e-02
1.189859227511983e-03	4.766925e-02
1.198503463687290e-03	5.142038e-02
1.210951163779733e-03	5.670422e-02
1.223398863872176e-03	6.171101e-02
1.235846563964619e-03	6.644074e-02
1.248294264057062e-03	7.089342e-02
1.260741964149505e-03	7.506905e-02
1.273189664241948e-03	7.896762e-02
1.285637364334390e-03	8.258913e-02
1.295318908850735e-03	8.511939e-02
1.305000453367079e-03	8.739972e-02
1.314681997883424e-03	8.943012e-02
1.324363542399768e-03	9.121060e-02
1.334045086916113e-03	9.274116e-02
1.343726631432457e-03	9.402179e-02
1.353408175948801e-03	9.505250e-02
1.365510106594232e-03	9.594003e-02
1.377612037239663e-03	9.640079e-02
1.389713967885093e-03	9.643478e-02
1.401815898530524e-03	9.604201e-02
1.413917829175954e-03	9.522247e-02
1.426019759821385e-03	9.397617e-02
1.438121690466815e-03	9.230310e-02
1.445382848854074e-03	9.109923e-02
1.452644007241332e-03	8.975840e-02
1.459905165628590e-03	8.828060e-02
1.467166324015849e-03	8.666583e-02
1.474427482403107e-03	8.491410e-02
1.481688640790365e-03	8.302541e-02
1.488949799177624e-03	8.099975e-02
1.493790571435796e-03	7.958576e-02
1.496210957564882e-03	7.885848e-02
1.498631343693968e-03	7.811942e-02
1.499916392374766e-03	7.772166e-02
1.500790129834093e-03	7.744895e-02
1.501663867293420e-03	7.717442e-02
1.502537604752747e-03	7.689808e-02
1.503411342212074e-03	7.661992e-02
1.504285079671401e-03	7.633994e-02
1.505158817130727e-03	7.605814e-02
1.506032554590054e-03	7.577453e-02
1.509993465756022e-03	7.446846e-02
1.514834238014194e-03	7.283016e-02
1.522095396401452e-03	7.028363e-02
1.527973477000662e-03	6.813933e-02
1.533851557599871e-03	6.593848e-02
1.539729638199080e-03	6.368108e-02
1.545607718798289e-03	6.136714e-02
1.551485799397498e-03	5.899665e-02
1.557363879996707e-03	5.656962e-02
1.563241960595916e-03	5.408604e-02
1.569465810642138e-03	5.140494e-02
1.575689660688359e-03	4.868744e-02
1.581913510734581e-03	4.593355e-02
1.588137360780802e-03	4.314327e-02
1.594361210827023e-03	4.031659e-02
1.600585060873245e-03	3.745352e-02
1.606808910919466e-03	3.455405e-02
1.613378530412700e-03	3.146862e-02
1.619948149905934e-03	2.837721e-02
1.626517769399167e-03	2.527982e-02
1.633087388892401e-03	2.217645e-02
1.639657008385635e-03	1.906709e-02
1.646226627878869e-03	1.595175e-02
1.652796247372102e-03	1.283042e-02
