time	V(out)
0.000000000000000e+00	1.861576e-19
2.420386113755058e-11	1.223810e-10
4.516569611359473e-11	3.192654e-10
8.708936606568304e-11	1.097469e-09
1.709367059698597e-10	3.704450e-09
3.386313857782129e-10	1.011046e-08
4.949864955431892e-10	1.489465e-08
2.728496311185684e-09	-8.095085e-09
4.962006126828179e-09	-6.300085e-09
7.195515942470674e-09	2.027965e-08
9.429025758113168e-09	7.164413e-08
1.166253557375566e-08	1.477933e-07
1.389604538939816e-08	2.487273e-07
1.612955520504065e-08	3.744460e-07
2.092649177102633e-08	9.163479e-07
2.412192886460879e-08	1.434501e-06
2.799897293306092e-08	2.189343e-06
3.316378338105527e-08	3.292364e-06
3.666800222796141e-08	4.113445e-06
4.017222107486756e-08	4.752113e-06
4.367643992177370e-08	5.208366e-06
4.718065876867985e-08	5.482207e-06
5.068487761558600e-08	5.573633e-06
5.418909646249214e-08	5.482646e-06
5.769331530939828e-08	5.209245e-06
7.769905286270716e-08	1.137966e-06
1.215251756279164e-07	-1.548181e-05
1.612106290838853e-07	-4.261681e-05
2.033494646527609e-07	-8.290207e-05
2.590421710138717e-07	-1.527481e-04
3.262734030690128e-07	-2.587976e-04
4.220076181359446e-07	-4.438283e-04
5.559265733722894e-07	-7.541080e-04
7.317989021080817e-07	-1.231186e-03
9.355320174843343e-07	-1.864132e-03
1.266261018864394e-06	-3.004679e-03
1.635933134890478e-06	-4.374202e-03
2.099352427502802e-06	-6.172302e-03
2.633171539303335e-06	-8.294053e-03
3.381934556147340e-06	-1.130450e-02
4.355809505264783e-06	-1.523673e-02
5.938081800725736e-06	-2.163312e-02
8.358467929811798e-06	-3.141787e-02
1.077885405889786e-05	-4.119934e-02
1.319924018798392e-05	-5.097503e-02
1.561962631706999e-05	-6.074255e-02
1.804001244615605e-05	-7.050084e-02
1.953132513215349e-05	-7.650739e-02
2.088547613783484e-05	-8.195604e-02
2.234974336816425e-05	-8.784102e-02
2.477012949725031e-05	-9.755471e-02
2.715624840247092e-05	-1.071134e-01
2.957663453155698e-05	-1.167877e-01
3.199702066064304e-05	-1.264380e-01
3.441740678972910e-05	-1.360618e-01
3.683779291881517e-05	-1.456570e-01
3.925817904790123e-05	-1.552211e-01
4.167856517698729e-05	-1.647519e-01
4.651933743515942e-05	-1.837044e-01
5.136010969333154e-05	-2.024963e-01
5.620088195150367e-05	-2.211096e-01
6.104165420967579e-05	-2.395267e-01
6.830281259693395e-05	-2.667459e-01
7.556397098419212e-05	-2.934257e-01
8.282512937145029e-05	-3.195093e-01
9.112359609974533e-05	-3.487006e-01
9.942206282804039e-05	-3.767742e-01
1.077205295563354e-04	-4.037299e-01
1.160189962846305e-04	-4.295679e-01
1.243174630129255e-04	-4.542881e-01
1.326159297412206e-04	-4.778905e-01
1.409143964695156e-04	-5.003751e-01
1.499044020918353e-04	-5.231627e-01
1.588944077141549e-04	-5.441376e-01
1.678844133364745e-04	-5.632999e-01
1.768744189587942e-04	-5.806495e-01
1.858644245811138e-04	-5.961864e-01
1.948544302034335e-04	-6.099106e-01
2.038444358257531e-04	-6.218221e-01
2.107598247659990e-04	-6.295589e-01
2.176752137062448e-04	-6.360851e-01
2.245906026464907e-04	-6.414006e-01
2.315059915867366e-04	-6.455055e-01
2.384213805269825e-04	-6.483998e-01
2.453367694672283e-04	-6.500834e-01
2.522521584074742e-04	-6.505564e-01
2.570929306656463e-04	-6.501412e-01
2.619337029238184e-04	-6.491290e-01
2.667744751819905e-04	-6.475199e-01
2.716152474401627e-04	-6.453139e-01
2.764560196983348e-04	-6.425109e-01
2.812967919565069e-04	-6.391111e-01
2.861375642146790e-04	-6.351144e-01
2.937444920489495e-04	-6.275954e-01
3.013514198832199e-04	-6.187037e-01
3.089583477174904e-04	-6.084394e-01
3.165652755517609e-04	-5.968025e-01
3.241722033860313e-04	-5.837930e-01
3.317791312203018e-04	-5.694109e-01
3.393860590545722e-04	-5.536562e-01
3.456099091007935e-04	-5.398210e-01
3.518337591470148e-04	-5.252200e-01
3.580576091932361e-04	-5.098532e-01
3.642814592394574e-04	-4.937206e-01
3.705053092856786e-04	-4.768221e-01
3.767291593319000e-04	-4.591577e-01
3.829530093781212e-04	-4.407276e-01
3.895226288713548e-04	-4.205169e-01
3.960922483645884e-04	-3.996819e-01
4.026618678578220e-04	-3.782226e-01
4.092314873510555e-04	-3.561390e-01
4.158011068442892e-04	-3.334311e-01
4.223707263375227e-04	-3.100990e-01
4.289403458307563e-04	-2.861425e-01
4.368930431120391e-04	-2.564169e-01
4.448457403933218e-04	-2.262430e-01
4.527984376746045e-04	-1.956209e-01
4.607511349558873e-04	-1.645505e-01
4.687038322371701e-04	-1.330320e-01
4.766565295184528e-04	-1.010652e-01
4.846092267997356e-04	-6.865026e-02
4.873753823758340e-04	-5.739081e-02
4.901415379519324e-04	-4.612257e-02
4.929076935280308e-04	-3.484554e-02
4.956738491041291e-04	-2.355971e-02
4.984400046802275e-04	-1.226510e-02
5.012061602563259e-04	-9.616913e-04
5.039723158324243e-04	1.035051e-02
5.101961658786458e-04	3.586326e-02
5.164200159248672e-04	6.122478e-02
5.226438659710886e-04	8.643508e-02
5.288677160173100e-04	1.114941e-01
5.350915660635315e-04	1.364020e-01
5.413154161097529e-04	1.611586e-01
5.475392661559743e-04	1.857640e-01
5.551461939902449e-04	2.154912e-01
5.627531218245156e-04	2.445646e-01
5.703600496587862e-04	2.729840e-01
5.779669774930568e-04	3.007494e-01
5.855739053273275e-04	3.278609e-01
5.931808331615981e-04	3.543184e-01
6.007877609958687e-04	3.801219e-01
6.049369943600163e-04	3.937704e-01
6.090862277241640e-04	4.071291e-01
6.132354610883116e-04	4.201980e-01
6.173846944524592e-04	4.329771e-01
6.215339278166068e-04	4.454665e-01
6.256831611807544e-04	4.576660e-01
6.298323945449020e-04	4.695758e-01
6.360562445911235e-04	4.868656e-01
6.422800946373449e-04	5.033514e-01
6.485039446835663e-04	5.190333e-01
6.547277947297878e-04	5.339113e-01
6.609516447760092e-04	5.479853e-01
6.671754948222306e-04	5.612554e-01
6.733993448684520e-04	5.737215e-01
6.806605032557104e-04	5.870904e-01
6.855012755138826e-04	5.953256e-01
6.903420477720548e-04	6.030101e-01
6.943025685726140e-04	6.089166e-01
6.946634876924116e-04	6.094339e-01
6.950244068122093e-04	6.099474e-01
6.953853259320069e-04	6.104573e-01
6.957462450518045e-04	6.109636e-01
6.961071641716022e-04	6.114661e-01
6.964680832913998e-04	6.119650e-01
6.968290024111975e-04	6.124603e-01
6.983658157689044e-04	6.145434e-01
6.991845989461839e-04	6.156323e-01
7.003095930575094e-04	6.170999e-01
7.063294775296838e-04	6.244259e-01
7.123493620018581e-04	6.308426e-01
7.183692464740324e-04	6.363499e-01
7.243891309462068e-04	6.409479e-01
7.304090154183810e-04	6.446366e-01
7.364288998905553e-04	6.474159e-01
7.424487843627297e-04	6.492859e-01
7.479810955149265e-04	6.501636e-01
7.535134066671233e-04	6.502583e-01
7.590457178193201e-04	6.495699e-01
7.645780289715169e-04	6.480984e-01
7.701103401237138e-04	6.458438e-01
7.756426512759106e-04	6.428061e-01
7.811749624281074e-04	6.389853e-01
7.898191986034149e-04	6.313905e-01
7.984634347787225e-04	6.220180e-01
8.071076709540300e-04	6.108677e-01
8.157519071293376e-04	5.979397e-01
8.243961433046451e-04	5.832340e-01
8.330403794799526e-04	5.667505e-01
8.416846156552602e-04	5.484893e-01
8.472169268074570e-04	5.359720e-01
8.527492379596538e-04	5.228489e-01
8.582815491118506e-04	5.091199e-01
8.638138602640474e-04	4.947850e-01
8.693461714162443e-04	4.798443e-01
8.748784825684411e-04	4.642978e-01
8.804107937206379e-04	4.481454e-01
8.828311798497240e-04	4.409266e-01
8.852515659788101e-04	4.336058e-01
8.900923382369824e-04	4.186651e-01
8.949331104951546e-04	4.033369e-01
9.021942688824129e-04	3.796496e-01
9.094554272696712e-04	3.551720e-01
9.167165856569296e-04	3.299550e-01
9.239777440441879e-04	3.040512e-01
9.305473635374216e-04	2.799607e-01
9.371169830306553e-04	2.554992e-01
9.436866025238891e-04	2.306666e-01
9.502562220171228e-04	2.054629e-01
9.568258415103565e-04	1.798883e-01
9.633954610035903e-04	1.539425e-01
9.699650804968240e-04	1.276258e-01
9.744600833079839e-04	1.095292e-01
9.789550861191438e-04	9.138150e-02
9.834500889303037e-04	7.318267e-02
9.879450917414637e-04	5.493273e-02
9.924400945526236e-04	3.663167e-02
9.969350973637835e-04	1.827948e-02
1.001430100174943e-03	-1.238229e-04
1.006616641880128e-03	-2.137130e-02
1.011803183585312e-03	-4.254022e-02
1.016989725290497e-03	-6.363058e-02
1.022176266995681e-03	-8.464238e-02
1.027362808700866e-03	-1.055756e-01
1.032549350406051e-03	-1.264303e-01
1.037735892111235e-03	-1.472065e-01
1.043268203263432e-03	-1.691999e-01
1.048800514415629e-03	-1.909244e-01
1.054332825567826e-03	-2.123799e-01
1.059865136720022e-03	-2.335664e-01
1.065397447872219e-03	-2.544840e-01
1.070929759024416e-03	-2.751326e-01
1.076462070176613e-03	-2.955121e-01
1.078882456305699e-03	-3.042895e-01
1.081302842434785e-03	-3.130048e-01
1.082634159365682e-03	-3.177681e-01
1.083934636287119e-03	-3.223954e-01
1.086916269627788e-03	-3.329266e-01
1.089413650121863e-03	-3.416533e-01
1.091911030615938e-03	-3.502917e-01
1.094408411110013e-03	-3.588416e-01
1.096905791604088e-03	-3.673031e-01
1.099403172098164e-03	-3.756763e-01
1.101900552592239e-03	-3.839610e-01
1.104397933086314e-03	-3.921574e-01
1.109238705344486e-03	-4.077575e-01
1.114079477602658e-03	-4.229805e-01
1.116499863731745e-03	-4.304461e-01
1.118920249860831e-03	-4.378123e-01
1.121340635989917e-03	-4.450772e-01
1.126181408248089e-03	-4.592965e-01
1.131022180506261e-03	-4.730911e-01
1.138283338893520e-03	-4.929588e-01
1.146581805621815e-03	-5.145269e-01
1.154880272350110e-03	-5.345728e-01
1.163178739078405e-03	-5.530964e-01
1.171477205806700e-03	-5.700978e-01
1.179775672534996e-03	-5.855769e-01
1.188074139263291e-03	-5.995337e-01
1.196372605991586e-03	-6.119683e-01
1.203979533825857e-03	-6.218396e-01
1.211586461660127e-03	-6.302527e-01
1.219193389494398e-03	-6.372074e-01
1.226800317328669e-03	-6.427039e-01
1.234407245162939e-03	-6.467422e-01
1.242014172997210e-03	-6.493221e-01
1.249621100831481e-03	-6.504438e-01
1.254116103642640e-03	-6.503893e-01
1.258611106453800e-03	-6.498184e-01
1.263106109264960e-03	-6.487313e-01
1.267601112076120e-03	-6.471277e-01
1.272096114887280e-03	-6.450079e-01
1.276591117698440e-03	-6.423717e-01
1.281086120509600e-03	-6.392192e-01
1.289730356684908e-03	-6.316438e-01
1.298374592860215e-03	-6.222903e-01
1.307018829035523e-03	-6.111586e-01
1.315663065210830e-03	-5.982488e-01
1.324307301386138e-03	-5.835609e-01
1.332951537561445e-03	-5.670948e-01
1.341595773736753e-03	-5.488505e-01
1.348165393229986e-03	-5.339037e-01
1.354735012723220e-03	-5.181188e-01
1.361304632216454e-03	-5.014959e-01
1.367874251709688e-03	-4.840351e-01
1.374443871202921e-03	-4.657362e-01
1.381013490696155e-03	-4.465994e-01
1.387583110189389e-03	-4.266245e-01
1.394844268576647e-03	-4.036579e-01
1.402105426963905e-03	-3.799790e-01
1.409366585351164e-03	-3.555878e-01
1.416627743738422e-03	-3.304843e-01
1.423888902125680e-03	-3.046685e-01
1.431150060512939e-03	-2.781403e-01
1.438411218900197e-03	-2.508999e-01
1.445672377287455e-03	-2.231209e-01
1.452933535674714e-03	-1.950259e-01
1.460194694061972e-03	-1.666149e-01
1.467455852449230e-03	-1.378878e-01
1.474717010836489e-03	-1.088446e-01
1.481978169223747e-03	-7.948535e-02
1.489239327611005e-03	-4.981006e-02
1.493042791528141e-03	-3.427734e-02
1.496846255445276e-03	-1.874726e-02
1.500649719362411e-03	-3.219815e-03
1.504453183279547e-03	1.230499e-02
1.508256647196682e-03	2.782716e-02
1.512060111113817e-03	4.334669e-02
1.515863575030953e-03	5.886358e-02
1.523470502865223e-03	8.991548e-02
1.531077430699494e-03	1.205892e-01
1.538684358533765e-03	1.508849e-01
1.546291286368035e-03	1.808023e-01
1.553898214202306e-03	2.103417e-01
1.561505142036576e-03	2.395029e-01
1.569112069870847e-03	2.682860e-01
1.574644381023044e-03	2.887728e-01
1.580176692175241e-03	3.088514e-01
1.585709003327438e-03	3.285219e-01
1.591241314479634e-03	3.477842e-01
1.596773625631831e-03	3.666383e-01
1.602305936784028e-03	3.850843e-01
1.607838247936225e-03	4.031220e-01
1.613370559088422e-03	4.206638e-01
1.618902870240618e-03	4.376478e-01
1.624435181392815e-03	4.540743e-01
1.629967492545012e-03	4.699431e-01
1.635499803697209e-03	4.852543e-01
1.641032114849406e-03	5.000078e-01
1.646564426001603e-03	5.142037e-01
1.650022120471726e-03	5.227415e-01
1.653479814941849e-03	5.310231e-01
1.656937509411972e-03	5.390485e-01
1.660395203882095e-03	5.468178e-01
1.663852898352218e-03	5.543309e-01
1.667310592822341e-03	5.615878e-01
1.670768287292464e-03	5.685885e-01
1.675609059550636e-03	5.779383e-01
1.678136207568355e-03	5.826203e-01
1.678596463847112e-03	5.834538e-01
1.679056720125869e-03	5.842821e-01
1.679516976404627e-03	5.851053e-01
1.679977232683384e-03	5.859233e-01
1.680437488962141e-03	5.867362e-01
1.680897745240898e-03	5.875439e-01
1.681358001519655e-03	5.883464e-01
1.682273507392178e-03	5.899339e-01
1.682906724173971e-03	5.910193e-01
1.685354837639965e-03	5.951157e-01
1.691818429043698e-03	6.052955e-01
1.698282020447432e-03	6.144466e-01
1.704745611851165e-03	6.225691e-01
1.711209203254899e-03	6.296628e-01
1.717672794658632e-03	6.357279e-01
1.724136386062366e-03	6.407642e-01
1.730599977466099e-03	6.447719e-01
1.735094980277259e-03	6.469123e-01
1.739589983088419e-03	6.485347e-01
1.744084985899579e-03	6.496391e-01
1.748579988710739e-03	6.502254e-01
1.753074991521899e-03	6.502936e-01
1.757569994333059e-03	6.498439e-01
1.762064997144219e-03	6.488760e-01
1.769326155531477e-03	6.461870e-01
1.776587313918735e-03	6.421819e-01
1.783848472305994e-03	6.368609e-01
1.791109630693252e-03	6.302238e-01
1.798370789080510e-03	6.222708e-01
1.805631947467769e-03	6.130017e-01
1.812893105855027e-03	6.024166e-01
1.817042339219175e-03	5.958122e-01
1.821191572583322e-03	5.888154e-01
1.825340805947470e-03	5.814264e-01
1.829490039311618e-03	5.736450e-01
1.833639272675765e-03	5.654714e-01
1.837788506039913e-03	5.569054e-01
1.841937739404060e-03	5.479471e-01
1.846778511662233e-03	5.370413e-01
1.854039670049491e-03	5.197543e-01
1.861300828436749e-03	5.013855e-01
1.868216217376995e-03	4.828228e-01
1.875131606317241e-03	4.634447e-01
1.882046995257487e-03	4.432510e-01
1.888962384197733e-03	4.222418e-01
1.895877773137979e-03	4.004171e-01
1.902793162078225e-03	3.777768e-01
1.909708551018471e-03	3.543209e-01
1.917661248299754e-03	3.264543e-01
1.925613945581037e-03	2.979550e-01
1.933566642862320e-03	2.688232e-01
1.941519340143603e-03	2.390588e-01
1.949472037424886e-03	2.086618e-01
1.957424734706169e-03	1.776323e-01
1.965377431987452e-03	1.459701e-01
1.970218204245624e-03	1.265832e-01
1.975058976503796e-03	1.071243e-01
1.979899748761968e-03	8.759337e-02
