TIME	Va
-4.20E-03	14.6000004
-4.20E-03	14.6000004
-4.19E-03	14.6000004
-4.19E-03	14.6000004
-4.18E-03	14.6000004
-4.18E-03	14.6000004
-4.18E-03	14.6000004
-4.17E-03	14.6000004
-4.17E-03	14.6000004
-4.16E-03	14.6000004
-4.16E-03	14.6000004
-4.16E-03	14.6000004
-4.15E-03	14.6000004
-4.15E-03	14.6000004
-4.14E-03	14.6000004
-4.14E-03	14.6000004
-4.14E-03	14.6000004
-4.13E-03	14.6000004
-4.13E-03	14.6000004
-4.12E-03	14.6000004
-4.12E-03	14.6000004
-4.12E-03	14.6000004
-4.11E-03	14.6000004
-4.11E-03	14.6000004
-4.10E-03	14.6000004
-4.10E-03	14.6000004
-4.10E-03	14.6000004
-4.09E-03	14.6000004
-4.09E-03	14.6000004
-4.08E-03	14.6000004
-4.08E-03	14.6000004
-4.08E-03	14.6000004
-4.07E-03	14.6000004
-4.07E-03	14.6000004
-4.06E-03	14.6000004
-4.06E-03	14.6000004
-4.06E-03	14.6000004
-4.05E-03	14.6000004
-4.05E-03	14.6000004
-4.04E-03	14.6000004
-4.04E-03	14.6000004
-4.04E-03	14.6000004
-4.03E-03	14.6000004
-4.03E-03	14.8000002
-4.02E-03	14.6000004
-4.02E-03	14.6000004
-4.02E-03	14.6000004
-4.01E-03	14.6000004
-4.01E-03	14.6000004
-4.00E-03	14.6000004
-4.00E-03	14.6000004
-4.00E-03	14.6000004
-3.99E-03	14.6000004
-3.99E-03	14.6000004
-3.98E-03	14.6000004
-3.98E-03	14.8000002
-3.98E-03	14.6000004
-3.97E-03	14.6000004
-3.97E-03	14.6000004
-3.96E-03	14.6000004
-3.96E-03	14.6000004
-3.96E-03	14.6000004
-3.95E-03	14.6000004
-3.95E-03	14.6000004
-3.94E-03	14.6000004
-3.94E-03	14.6000004
-3.94E-03	14.6000004
-3.93E-03	14.6000004
-3.93E-03	14.6000004
-3.92E-03	14.6000004
-3.92E-03	14.6000004
-3.92E-03	14.6000004
-3.91E-03	14.6000004
-3.91E-03	14.6000004
-3.90E-03	14.6000004
-3.90E-03	14.6000004
-3.90E-03	14.6000004
-3.89E-03	14.6000004
-3.89E-03	14.8000002
-3.88E-03	14.6000004
-3.88E-03	14.6000004
-3.88E-03	14.6000004
-3.87E-03	14.6000004
-3.87E-03	14.6000004
-3.86E-03	14.6000004
-3.86E-03	14.8000002
-3.86E-03	14.6000004
-3.85E-03	14.6000004
-3.85E-03	14.6000004
-3.84E-03	14.6000004
-3.84E-03	14.8000002
-3.84E-03	14.6000004
-3.83E-03	14.8000002
-3.83E-03	14.6000004
-3.82E-03	14.6000004
-3.82E-03	14.6000004
-3.82E-03	14.6000004
-3.81E-03	14.6000004
-3.81E-03	14.6000004
-3.80E-03	14.6000004
-3.80E-03	14.8000002
-3.80E-03	14.6000004
-3.79E-03	14.8000002
-3.79E-03	14.8000002
-3.78E-03	14.6000004
-3.78E-03	14.8000002
-3.78E-03	14.6000004
-3.77E-03	14.6000004
-3.77E-03	14.8000002
-3.76E-03	14.6000004
-3.76E-03	14.6000004
-3.76E-03	14.6000004
-3.75E-03	14.6000004
-3.75E-03	14.6000004
-3.74E-03	14.6000004
-3.74E-03	14.1999998
-3.74E-03	13.4000006
-3.73E-03	13.1999998
-3.73E-03	11
-3.72E-03	11.4000006
-3.72E-03	11.4000006
-3.72E-03	9.199999809
-3.71E-03	11.4000006
-3.71E-03	10.6000004
-3.70E-03	2.00E-01
-3.70E-03	2.00E-01
-3.70E-03	2.00E-01
-3.69E-03	4.00E-01
-3.69E-03	2.00E-01
-3.68E-03	2.00E-01
-3.68E-03	2.00E-01
-3.68E-03	2.00E-01
-3.67E-03	2.00E-01
-3.67E-03	2.00E-01
-3.66E-03	2.00E-01
-3.66E-03	2.00E-01
-3.66E-03	2.00E-01
-3.65E-03	2.00E-01
-3.65E-03	2.00E-01
-3.64E-03	2.00E-01
-3.64E-03	2.00E-01
-3.64E-03	2.00E-01
-3.63E-03	2.00E-01
-3.63E-03	2.00E-01
-3.62E-03	2.00E-01
-3.62E-03	2.00E-01
-3.62E-03	2.00E-01
-3.61E-03	2.00E-01
-3.61E-03	2.00E-01
-3.60E-03	2.00E-01
-3.60E-03	2.00E-01
-3.60E-03	2.00E-01
-3.59E-03	2.00E-01
-3.59E-03	2.00E-01
-3.58E-03	2.00E-01
-3.58E-03	2.00E-01
-3.58E-03	2.00E-01
-3.57E-03	2.00E-01
-3.57E-03	2.00E-01
-3.56E-03	2.00E-01
-3.56E-03	2.00E-01
-3.56E-03	2.00E-01
-3.55E-03	2.00E-01
-3.55E-03	2.00E-01
-3.54E-03	2.00E-01
-3.54E-03	2.00E-01
-3.54E-03	2.00E-01
-3.53E-03	2.00E-01
-3.53E-03	2.00E-01
-3.52E-03	2.00E-01
-3.52E-03	2.00E-01
-3.52E-03	2.00E-01
-3.51E-03	2.00E-01
-3.51E-03	2.00E-01
-3.50E-03	2.00E-01
-3.50E-03	2.00E-01
-3.50E-03	2.00E-01
-3.49E-03	2.00E-01
-3.49E-03	2.00E-01
-3.48E-03	2.00E-01
-3.48E-03	2.00E-01
-3.48E-03	2.00E-01
-3.47E-03	2.00E-01
-3.47E-03	2.00E-01
-3.46E-03	2.00E-01
-3.46E-03	2.00E-01
-3.46E-03	2.00E-01
-3.45E-03	2.00E-01
-3.45E-03	2.00E-01
-3.44E-03	2.00E-01
-3.44E-03	2.00E-01
-3.44E-03	2.00E-01
-3.43E-03	2.00E-01
-3.43E-03	2.00E-01
-3.42E-03	2.00E-01
-3.42E-03	2.00E-01
-3.42E-03	2.00E-01
-3.41E-03	2.00E-01
-3.41E-03	2.00E-01
-3.40E-03	2.00E-01
-3.40E-03	2.00E-01
-3.40E-03	2.00E-01
-3.39E-03	2.00E-01
-3.39E-03	2.00E-01
-3.38E-03	2.00E-01
-3.38E-03	2.00E-01
-3.38E-03	2.00E-01
-3.37E-03	2.00E-01
-3.37E-03	2.00E-01
-3.36E-03	2.00E-01
-3.36E-03	2.00E-01
-3.36E-03	2.00E-01
-3.35E-03	2.00E-01
-3.35E-03	2.00E-01
-3.34E-03	2.00E-01
-3.34E-03	2.00E-01
-3.34E-03	2.00E-01
-3.33E-03	2.00E-01
-3.33E-03	2.00E-01
-3.32E-03	2.00E-01
-3.32E-03	2.00E-01
-3.32E-03	2.00E-01
-3.31E-03	2.00E-01
-3.31E-03	2.00E-01
-3.30E-03	2.00E-01
-3.30E-03	2.00E-01
-3.30E-03	2.00E-01
-3.29E-03	2.00E-01
-3.29E-03	2.00E-01
-3.28E-03	2.00E-01
-3.28E-03	2.00E-01
-3.28E-03	2.00E-01
-3.27E-03	2.00E-01
-3.27E-03	2.00E-01
-3.26E-03	2.00E-01
-3.26E-03	2.00E-01
-3.26E-03	2.00E-01
-3.25E-03	2.00E-01
-3.25E-03	2.00E-01
-3.24E-03	2.00E-01
-3.24E-03	2.00E-01
-3.24E-03	2.00E-01
-3.23E-03	2.00E-01
-3.23E-03	2.00E-01
-3.22E-03	2.00E-01
-3.22E-03	2.00E-01
-3.22E-03	2.00E-01
-3.21E-03	2.00E-01
-3.21E-03	2.00E-01
-3.20E-03	2.00E-01
-3.20E-03	2.00E-01
-3.20E-03	2.00E-01
-3.19E-03	2.00E-01
-3.19E-03	2.00E-01
-3.18E-03	2.00E-01
-3.18E-03	2.00E-01
-3.18E-03	2.00E-01
-3.17E-03	2.00E-01
-3.17E-03	2.00E-01
-3.16E-03	2.00E-01
-3.16E-03	2.00E-01
-3.16E-03	2.00E-01
-3.15E-03	2.00E-01
-3.15E-03	2.00E-01
-3.14E-03	2.00E-01
-3.14E-03	2.00E-01
-3.14E-03	2.00E-01
-3.13E-03	2.00E-01
-3.13E-03	2.00E-01
-3.12E-03	2.00E-01
-3.12E-03	2.00E-01
-3.12E-03	2.00E-01
-3.11E-03	2.00E-01
-3.11E-03	2.00E-01
-3.10E-03	2.00E-01
-3.10E-03	2.00E-01
-3.10E-03	2.00E-01
-3.09E-03	2.00E-01
-3.09E-03	2.00E-01
-3.08E-03	2.00E-01
-3.08E-03	0
-3.08E-03	2.00E-01
-3.07E-03	2.00E-01
-3.07E-03	2.00E-01
-3.06E-03	2.00E-01
-3.06E-03	2.00E-01
-3.06E-03	2.00E-01
-3.05E-03	2.00E-01
-3.05E-03	2.00E-01
-3.04E-03	2.00E-01
-3.04E-03	2.00E-01
-3.04E-03	2.00E-01
-3.03E-03	2.00E-01
-3.03E-03	0
-3.02E-03	2.00E-01
-3.02E-03	2.00E-01
-3.02E-03	2.00E-01
-3.01E-03	2.00E-01
-3.01E-03	2.00E-01
-3.00E-03	2.00E-01
-3.00E-03	2.00E-01
-3.00E-03	2.00E-01
-2.99E-03	2.00E-01
-2.99E-03	2.00E-01
-2.98E-03	2.00E-01
-2.98E-03	2.00E-01
-2.98E-03	2.00E-01
-2.97E-03	2.00E-01
-2.97E-03	2.00E-01
-2.96E-03	2.00E-01
-2.96E-03	2.00E-01
-2.96E-03	2.00E-01
-2.95E-03	2.00E-01
-2.95E-03	2.00E-01
-2.94E-03	2.00E-01
-2.94E-03	2.00E-01
-2.94E-03	2.00E-01
-2.93E-03	0
-2.93E-03	2.00E-01
-2.92E-03	2.00E-01
-2.92E-03	2.00E-01
-2.92E-03	2.00E-01
-2.91E-03	2.00E-01
-2.91E-03	2.00E-01
-2.90E-03	0
-2.90E-03	2.00E-01
-2.90E-03	0
-2.89E-03	2.00E-01
-2.89E-03	2.00E-01
-2.88E-03	2.00E-01
-2.88E-03	2.00E-01
-2.88E-03	2.00E-01
-2.87E-03	2.00E-01
-2.87E-03	2.00E-01
-2.86E-03	2.00E-01
-2.86E-03	2.00E-01
-2.86E-03	0
-2.85E-03	2.00E-01
-2.85E-03	2.00E-01
-2.84E-03	2.00E-01
-2.84E-03	0
-2.84E-03	2.00E-01
-2.83E-03	2.00E-01
-2.83E-03	2.00E-01
-2.82E-03	2.00E-01
-2.82E-03	2.00E-01
-2.82E-03	2.00E-01
-2.81E-03	2.00E-01
-2.81E-03	2.00E-01
-2.80E-03	0
-2.80E-03	2.00E-01
-2.80E-03	2.00E-01
-2.79E-03	2.00E-01
-2.79E-03	2.00E-01
-2.78E-03	2.00E-01
-2.78E-03	0
-2.78E-03	2.00E-01
-2.77E-03	2.00E-01
-2.77E-03	2.00E-01
-2.76E-03	2.00E-01
-2.76E-03	2.00E-01
-2.76E-03	2.00E-01
-2.75E-03	2.00E-01
-2.75E-03	2.00E-01
-2.74E-03	0
-2.74E-03	2.00E-01
-2.74E-03	2.00E-01
-2.73E-03	2.00E-01
-2.73E-03	0
-2.72E-03	2.00E-01
-2.72E-03	2.00E-01
-2.72E-03	2.00E-01
-2.71E-03	2.00E-01
-2.71E-03	2.00E-01
-2.70E-03	2.00E-01
-2.70E-03	2.00E-01
-2.70E-03	2.00E-01
-2.69E-03	2.00E-01
-2.69E-03	2.00E-01
-2.68E-03	2.00E-01
-2.68E-03	2.00E-01
-2.68E-03	2.00E-01
-2.67E-03	2.00E-01
-2.67E-03	2.00E-01
-2.66E-03	2.00E-01
-2.66E-03	2.00E-01
-2.66E-03	2.00E-01
-2.65E-03	2.00E-01
-2.65E-03	2.00E-01
-2.64E-03	2.00E-01
-2.64E-03	2.00E-01
-2.64E-03	4.00E-01
-2.63E-03	6.00E-01
-2.63E-03	8.00E-01
-2.62E-03	1.2
-2.62E-03	1.6
-2.62E-03	2.4000001
-2.61E-03	3
-2.61E-03	4.5999999
-2.60E-03	7.20000029
-2.60E-03	14.6000004
-2.60E-03	14.4000006
-2.59E-03	14.6000004
-2.59E-03	14.6000004
-2.58E-03	14.6000004
-2.58E-03	14.4000006
-2.58E-03	14.6000004
-2.57E-03	14.6000004
-2.57E-03	14.6000004
-2.56E-03	14.4000006
-2.56E-03	14.6000004
-2.56E-03	14.6000004
-2.55E-03	14.4000006
-2.55E-03	14.6000004
-2.54E-03	14.6000004
-2.54E-03	14.6000004
-2.54E-03	14.6000004
-2.53E-03	14.4000006
-2.53E-03	14.6000004
-2.52E-03	14.6000004
-2.52E-03	14.6000004
-2.52E-03	14.4000006
-2.51E-03	14.6000004
-2.51E-03	14.6000004
-2.50E-03	14.6000004
-2.50E-03	14.6000004
-2.50E-03	14.6000004
-2.49E-03	14.4000006
-2.49E-03	14.6000004
-2.48E-03	14.6000004
-2.48E-03	14.6000004
-2.48E-03	14.4000006
-2.47E-03	14.6000004
-2.47E-03	14.6000004
-2.46E-03	14.6000004
-2.46E-03	14.6000004
-2.46E-03	14.6000004
-2.45E-03	14.6000004
-2.45E-03	14.6000004
-2.44E-03	14.6000004
-2.44E-03	14.6000004
-2.44E-03	14.6000004
-2.43E-03	14.4000006
-2.43E-03	14.6000004
-2.42E-03	14.6000004
-2.42E-03	14.6000004
-2.42E-03	14.6000004
-2.41E-03	14.6000004
-2.41E-03	14.6000004
-2.40E-03	14.6000004
-2.40E-03	14.6000004
-2.40E-03	14.6000004
-2.39E-03	14.6000004
-2.39E-03	14.6000004
-2.38E-03	14.6000004
-2.38E-03	14.6000004
-2.38E-03	14.6000004
-2.37E-03	14.6000004
-2.37E-03	14.6000004
-2.36E-03	14.6000004
-2.36E-03	14.6000004
-2.36E-03	14.6000004
-2.35E-03	14.6000004
-2.35E-03	14.6000004
-2.34E-03	14.6000004
-2.34E-03	14.6000004
-2.34E-03	14.6000004
-2.33E-03	14.6000004
-2.33E-03	14.6000004
-2.32E-03	14.6000004
-2.32E-03	14.6000004
-2.32E-03	14.6000004
-2.31E-03	14.6000004
-2.31E-03	14.6000004
-2.30E-03	14.6000004
-2.30E-03	14.6000004
-2.30E-03	14.6000004
-2.29E-03	14.6000004
-2.29E-03	14.6000004
-2.28E-03	14.6000004
-2.28E-03	14.6000004
-2.28E-03	14.6000004
-2.27E-03	14.6000004
-2.27E-03	14.6000004
-2.26E-03	14.6000004
-2.26E-03	14.6000004
-2.26E-03	14.6000004
-2.25E-03	14.6000004
-2.25E-03	14.6000004
-2.24E-03	14.6000004
-2.24E-03	14.6000004
-2.24E-03	14.6000004
-2.23E-03	14.6000004
-2.23E-03	14.6000004
-2.22E-03	14.6000004
-2.22E-03	14.6000004
-2.22E-03	14.6000004
-2.21E-03	14.6000004
-2.21E-03	14.6000004
-2.20E-03	14.6000004
-2.20E-03	14.6000004
-2.20E-03	14.6000004
-2.19E-03	14.6000004
-2.19E-03	14.6000004
-2.18E-03	14.6000004
-2.18E-03	14.6000004
-2.18E-03	14.6000004
-2.17E-03	14.6000004
-2.17E-03	14.6000004
-2.16E-03	14.6000004
-2.16E-03	14.6000004
-2.16E-03	14.6000004
-2.15E-03	14.6000004
-2.15E-03	14.6000004
-2.14E-03	14.6000004
-2.14E-03	14.6000004
-2.14E-03	14.6000004
-2.13E-03	14.6000004
-2.13E-03	14.6000004
-2.12E-03	14.6000004
-2.12E-03	14.6000004
-2.12E-03	14.6000004
-2.11E-03	14.6000004
-2.11E-03	14.6000004
-2.10E-03	14.6000004
-2.10E-03	14.6000004
-2.10E-03	14.6000004
-2.09E-03	14.6000004
-2.09E-03	14.6000004
-2.08E-03	14.6000004
-2.08E-03	14.6000004
-2.08E-03	14.6000004
-2.07E-03	14.6000004
-2.07E-03	14.6000004
-2.06E-03	14.6000004
-2.06E-03	14.6000004
-2.06E-03	14.6000004
-2.05E-03	14.6000004
-2.05E-03	14.6000004
-2.04E-03	14.6000004
