T	V1	V2	V3	V4
0.001003599990	0.09375105798244480	2500004768371584	037499092519284	16249907761812
0.001003199990	0.2500010728836060	2500004768371584	037499092519284	22499907016754
0.001002799990	0.09375105798244480	2500004768371583	974999099969864	16249907761812
0.001002399990	0.09375105798244480	2500004768371584	037499092519284	22499907016754
0.001001999990	0.09375105798244480	0937504619359974	037499092519284	16249907761812
0.001001599990	0.09375105798244480	4062504917383194	037499092519284	16249907761812
0.001001199990	0.2500010728836060	2500004768371583	974999099969864	16249907761812
0.001000799990	0.06249895691871640	2500004768371584	037499092519284	22499907016754
0.001000399990	0.2500010728836060	2500004768371584	037499092519284	16249907761812
0.000999999990	0.09375105798244480	2500004768371584	09999908506874	22499907016754
0.000999599990	0.09375105798244480	4062504917383194	09999908506874	0999990850687
0.000999199990	0.2500010728836060	2500004768371584	037499092519284	16249907761812
0.000998799990	0.09375105798244480	2500004768371584	037499092519284	16249907761812
0.000998399990	0.09375105798244480	2500004768371584	09999908506874	22499907016754
0.000997999990	0.2500010728836060	4062504917383194	09999908506874	22499907016754
0.000997599990	0.2500010728836060	2500004768371584	09999908506874	22499907016754
0.000997199990	0.09375105798244480	2500004768371584	037499092519284	22499907016754
0.000996799990	0.09375105798244480	2500004768371584	09999908506874	22499907016754
0.000996399990	0.09375105798244480	2500004768371584	162499077618124	16249907761812
0.000995999990	0.2500010728836060	2500004768371584	09999908506874	16249907761812
0.000995599990	0.2500010728836060	2500004768371584	162499077618124	16249907761812
0.000995199990	0.09375105798244480	4062504917383194	162499077618124	16249907761812
0.000994799990	0.09375105798244480	2500004768371584	162499077618124	22499907016754
0.000994399990	0.09375105798244480	4062504917383194	162499077618124	22499907016754
0.000993999990	0.09375105798244480	4062504917383194	162499077618124	22499907016754
0.000993599990	0.2500010728836060	2500004768371584	162499077618124	22499907016754
0.000993199990	0.06249895691871640	2500004768371584	162499077618124	16249907761812
0.000992799990	0.09375105798244480	2500004768371584	162499077618124	22499907016754
0.000992399990	0.09375105798244480	2500004768371584	162499077618124	16249907761812
0.000991999995	0.09375153481960	2500004768371584	162499077618124	16249907761812
0.000991599995	0.09375153481960	0937504619359974	224999070167544	16249907761812
0.000991199995	0.09375153481960	4062504917383194	224999070167544	16249907761812
0.000990799995	0.09375153481960	2500004768371584	162499077618124	16249907761812
0.000990399994	0.937501519918440	4062504917383194	224999070167544	22499907016754
0.000989999995	0.09375153481960	2500004768371584	224999070167544	22499907016754
0.000989599995	0.09375153481960	2500004768371584	287499062716964	22499907016754
0.000989199994	0.937501519918440	2500004768371584	224999070167544	16249907761812
0.000988799995	0.09375153481960	2500004768371584	224999070167544	16249907761812
0.000988399995	0.09375153481960	2500004768371584	287499062716964	22499907016754
0.000987999994	0.937501519918440	2500004768371584	287499062716964	22499907016754
0.000987599994	0.937501519918440	2500004768371584	287499062716964	16249907761812
0.000987199995	0.09375153481960	2500004768371584	224999070167544	16249907761812
0.000986799994	0.937501519918440	2500004768371584	287499062716964	22499907016754
0.000986399994	0.937501519918440	2500004768371584	287499062716964	22499907016754
0.000985999994	0.937501519918440	2500004768371584	224999070167544	16249907761812
0.000985599995	0.09375153481960	4062504917383194	287499062716964	16249907761812
0.000985199994	0.937501519918440	4062504917383194	349999055266384	16249907761812
0.000984799994	0.937501519918440	2500004768371584	349999055266384	22499907016754
0.000984399994	0.937501519918440	2500004768371584	287499062716964	16249907761812
0.000983999995	0.09375153481960	2500004768371584	287499062716964	16249907761812
0.000983599994	0.937501519918440	2500004768371584	349999055266384	22499907016754
0.000983199995	0.09375153481960	4062504917383194	287499062716964	16249907761812
0.000982799994	0.937501519918440	4062504917383194	287499062716964	0999990850687
0.000982399994	0.937501519918440	4062504917383194	349999055266384	16249907761812
0.000981999994	0.781251505017280	2500004768371584	287499062716964	16249907761812
0.000981599995	0.09375153481960	2500004768371584	349999055266384	16249907761812
0.000981199994	0.937501519918440	2500004768371584	349999055266384	22499907016754
0.000980799995	0.09375153481960	2500004768371584	349999055266384	22499907016754
0.000980399994	0.937501519918440	2500004768371584	349999055266384	0999990850687
0.000979999995	0.09375153481960	2500004768371584	349999055266384	16249907761812
0.000979599995	0.09375153481960	4062504917383194	349999055266384	22499907016754
0.000979199994	0.937501519918440	4062504917383194	41249904781584	22499907016754
0.000978799995	0.09375153481960	2500004768371584	41249904781584	16249907761812
0.000978399994	0.937501519918440	2500004768371584	41249904781584	22499907016754
0.000977999994	0.937501519918440	2500004768371584	41249904781584	22499907016754
0.000977599994	0.937501519918440	2500004768371584	474999040365224	16249907761812
0.000977199995	0.09375153481960	2500004768371584	41249904781584	22499907016754
0.000976799994	0.937501519918440	2500004768371584	474999040365224	22499907016754
0.000976399995	0.09375153481960	4062504917383194	41249904781584	16249907761812
0.000975999990	0.09375105798244480	0937504619359974	474999040365224	22499907016754
0.000975599990	0.09375105798244480	2500004768371584	41249904781584	16249907761812
0.000975199990	0.09375105798244480	2500004768371584	41249904781584	22499907016754
0.000974799990	0.09375105798244480	2500004768371584	41249904781584	16249907761812
0.000974399990	0.2500010728836060	2500004768371584	41249904781584	22499907016754
0.000973999990	0.2500010728836060	0937504619359974	474999040365224	16249907761812
0.000973599990	0.06249895691871640	2500004768371584	474999040365224	16249907761812
0.000973199990	0.09375105798244480	2500004768371584	474999040365224	22499907016754
0.000972799990	0.09375105798244480	2500004768371584	474999040365224	16249907761812
0.000972399990	0.09375105798244480	2500004768371584	474999040365224	22499907016754
0.000971999990	0.09375105798244480	2500004768371584	474999040365224	16249907761812
0.000971599990	0.09375105798244480	2500004768371584	474999040365224	22499907016754
0.000971199990	0.2500010728836060	2500004768371584	474999040365224	16249907761812
0.000970799990	0.09375105798244480	2500004768371584	537499032914644	16249907761812
0.000970399990	0.06249895691871640	0937504619359974	537499032914644	22499907016754
0.000969999990	0.09375105798244480	2500004768371584	537499032914644	22499907016754
0.000969599990	0.09375105798244480	4062504917383194	599999025464064	16249907761812
0.000969199990	0.09375105798244480	0937504619359974	537499032914644	16249907761812
0.000968799990	0.09375105798244480	2500004768371584	474999040365224	16249907761812
0.000968399990	0.09375105798244480	0937504619359974	537499032914644	16249907761812
0.000967999990	0.09375105798244480	4062504917383194	537499032914644	22499907016754
0.000967599990	0.09375105798244480	2500004768371584	537499032914644	16249907761812
0.000967199990	0.2500010728836060	2500004768371584	599999025464064	22499907016754
0.000966799990	0.2500010728836060	2500004768371584	599999025464064	22499907016754
0.000966399990	0.09375105798244480	2500004768371584	599999025464064	22499907016754
0.000965999990	0.2500010728836060	2500004768371584	599999025464064	22499907016754
