WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1471.040;-6.13;-65.96;-65.75;-65.32;-40.35
1471.050;-6.06;-66.03;-65.83;-65.40;-40.43
1471.060;-5.98;-66.11;-65.91;-65.47;-40.37
1471.070;-5.94;-66.15;-65.95;-65.51;-40.48
1471.080;-5.88;-66.21;-66.00;-65.57;-40.50
1471.090;-5.85;-66.24;-66.03;-65.60;-40.56
1471.100;-5.84;-66.25;-66.04;-65.61;-40.59
1471.110;-5.78;-66.30;-66.10;-65.67;-40.59
1471.120;-5.65;-66.44;-66.23;-65.80;-40.63
1471.130;-5.55;-66.54;-66.33;-65.90;-40.52
1471.140;-5.54;-66.55;-66.35;-65.91;-40.52
1471.150;-5.50;-66.58;-66.38;-65.95;-40.60
1471.160;-5.46;-66.63;-66.42;-65.99;-40.55
1471.170;-5.48;-66.60;-66.40;-65.97;-40.66
1471.180;-5.47;-66.62;-66.41;-65.98;-40.69
1471.190;-5.49;-66.59;-66.39;-65.95;-40.70
1471.200;-5.46;-66.62;-66.42;-65.99;-40.80
1471.210;-5.47;-66.62;-66.42;-65.98;-40.76
1471.220;-5.50;-66.59;-66.38;-65.95;-40.72
1471.230;-5.46;-66.63;-66.43;-65.99;-40.82
1471.240;-5.48;-66.61;-66.40;-65.97;-40.80
1471.250;-5.53;-66.56;-66.36;-65.92;-40.80
1471.260;-5.55;-66.54;-66.34;-65.90;-40.87
1471.270;-5.74;-66.34;-66.14;-65.70;-40.83
1471.280;-5.86;-66.23;-66.02;-65.59;-40.82
1471.290;-5.98;-66.11;-65.91;-65.47;-40.71
1471.300;-6.19;-65.90;-65.69;-65.25;-40.70
1471.310;-6.33;-65.76;-65.56;-65.12;-40.78
1471.320;-6.28;-65.81;-65.60;-65.17;-40.82
1471.330;-6.32;-65.77;-65.57;-65.13;-40.73
1471.340;-6.41;-65.68;-65.48;-65.04;-40.91
1471.350;-6.51;-65.58;-65.37;-64.94;-41.00
1471.360;-6.51;-65.58;-65.38;-64.94;-40.98
1471.370;-6.74;-65.35;-65.14;-64.70;-40.97
1471.380;-7.02;-65.07;-64.86;-64.42;-41.10
1471.390;-7.15;-64.94;-64.73;-64.29;-41.12
1471.400;-7.23;-64.86;-64.66;-64.22;-41.18
1471.410;-7.35;-64.74;-64.54;-64.10;-41.11
1471.420;-7.39;-64.70;-64.49;-64.05;-41.13
1471.430;-7.44;-64.65;-64.45;-64.01;-41.09
1471.440;-7.42;-64.67;-64.47;-64.03;-41.24
1471.450;-7.42;-64.68;-64.47;-64.03;-41.22
1471.460;-7.58;-64.51;-64.30;-63.86;-41.21
1471.470;-7.68;-64.41;-64.20;-63.76;-41.27
1471.480;-7.73;-64.36;-64.15;-63.71;-41.22
1471.490;-7.78;-64.31;-64.10;-63.66;-41.20
1471.500;-7.84;-64.25;-64.04;-63.60;-41.20
1471.510;-7.81;-64.28;-64.08;-63.63;-41.20
1471.520;-7.75;-64.34;-64.13;-63.69;-41.16
1471.530;-7.72;-64.37;-64.17;-63.72;-41.18
1471.540;-7.70;-64.40;-64.19;-63.75;-41.19
1471.550;-7.61;-64.48;-64.28;-63.83;-41.06
1471.560;-7.48;-64.62;-64.41;-63.97;-41.15
