WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1489.500;-4.60;-67.40;-67.19;-66.77;-40.71
1489.510;-4.60;-67.41;-67.19;-66.77;-40.68
1489.520;-4.61;-67.40;-67.18;-66.76;-40.68
1489.530;-4.61;-67.39;-67.18;-66.75;-40.63
1489.540;-4.60;-67.40;-67.19;-66.77;-40.70
1489.550;-4.62;-67.39;-67.17;-66.75;-40.67
1489.560;-4.60;-67.40;-67.19;-66.76;-40.70
1489.570;-4.60;-67.41;-67.19;-66.77;-40.65
1489.580;-4.62;-67.39;-67.17;-66.75;-40.71
1489.590;-4.62;-67.39;-67.17;-66.75;-40.51
1489.600;-4.62;-67.38;-67.17;-66.75;-40.65
1489.610;-4.62;-67.38;-67.17;-66.74;-40.68
1489.620;-4.60;-67.40;-67.19;-66.76;-40.55
1489.630;-4.63;-67.38;-67.16;-66.74;-40.72
1489.640;-4.63;-67.38;-67.16;-66.74;-40.63
1489.650;-4.62;-67.39;-67.17;-66.75;-40.56
1489.660;-4.65;-67.35;-67.14;-66.71;-40.60
1489.670;-4.62;-67.38;-67.17;-66.74;-40.60
1489.680;-4.64;-67.37;-67.15;-66.73;-40.64
1489.690;-4.66;-67.35;-67.13;-66.71;-40.72
1489.700;-4.64;-67.37;-67.15;-66.73;-40.77
1489.710;-4.65;-67.36;-67.14;-66.72;-40.66
1489.720;-4.66;-67.35;-67.13;-66.71;-40.70
1489.730;-4.64;-67.37;-67.15;-66.73;-40.73
1489.740;-4.66;-67.35;-67.13;-66.71;-40.70
1489.750;-4.66;-67.35;-67.13;-66.71;-40.66
1489.760;-4.66;-67.35;-67.13;-66.71;-40.68
1489.770;-4.66;-67.35;-67.14;-66.71;-40.74
1489.780;-4.64;-67.37;-67.15;-66.73;-40.67
1489.790;-4.66;-67.35;-67.13;-66.71;-40.66
1489.800;-4.67;-67.33;-67.12;-66.69;-40.63
1489.810;-4.66;-67.35;-67.13;-66.71;-40.66
1489.820;-4.67;-67.33;-67.12;-66.69;-40.71
1489.830;-4.66;-67.34;-67.13;-66.70;-40.67
1489.840;-4.64;-67.36;-67.15;-66.73;-40.68
1489.850;-4.69;-67.31;-67.10;-66.67;-40.67
1489.860;-4.68;-67.33;-67.11;-66.69;-40.74
1489.870;-4.67;-67.34;-67.12;-66.70;-40.75
1489.880;-4.69;-67.31;-67.10;-66.67;-40.74
1489.890;-4.68;-67.33;-67.11;-66.69;-40.69
1489.900;-4.71;-67.29;-67.08;-66.66;-40.74
1489.910;-4.70;-67.30;-67.09;-66.67;-40.65
1489.920;-4.66;-67.35;-67.13;-66.71;-40.73
1489.930;-4.69;-67.31;-67.10;-66.67;-40.65
1489.940;-4.68;-67.32;-67.11;-66.68;-40.70
1489.950;-4.69;-67.31;-67.10;-66.68;-40.70
1489.960;-4.71;-67.30;-67.08;-66.66;-40.64
1489.970;-4.67;-67.33;-67.11;-66.69;-40.76
1489.980;-4.69;-67.32;-67.10;-66.68;-40.75
1489.990;-4.69;-67.31;-67.10;-66.67;-40.80
1490.000;-4.66;-67.34;-67.13;-66.70;-40.81
1490.010;-4.68;-67.32;-67.11;-66.68;-40.76
1490.020;-4.67;-67.34;-67.12;-66.70;-40.81
1490.030;-4.66;-67.35;-67.13;-66.71;-40.89
1490.040;-4.67;-67.33;-67.11;-66.69;-40.83
1490.050;-4.66;-67.34;-67.12;-66.70;-40.84
1490.060;-4.66;-67.35;-67.13;-66.71;-40.80
1490.070;-4.67;-67.33;-67.11;-66.69;-40.79
1490.080;-4.64;-67.37;-67.15;-66.72;-40.80
1490.090;-4.65;-67.36;-67.14;-66.71;-40.82
1490.100;-4.64;-67.36;-67.14;-66.72;-40.81
1490.110;-4.64;-67.37;-67.15;-66.72;-40.82
1490.120;-4.64;-67.36;-67.14;-66.72;-40.85
1490.130;-4.66;-67.35;-67.13;-66.71;-40.91
1490.140;-4.62;-67.38;-67.16;-66.74;-40.95
1490.150;-4.65;-67.35;-67.13;-66.71;-40.85
1490.160;-4.62;-67.38;-67.16;-66.74;-40.86
1490.170;-4.61;-67.39;-67.17;-66.75;-40.91
1490.180;-4.64;-67.37;-67.15;-66.72;-40.88
1490.190;-4.61;-67.40;-67.18;-66.75;-40.87
1490.200;-4.63;-67.37;-67.15;-66.73;-40.88
1490.210;-4.64;-67.37;-67.15;-66.72;-40.82
1490.220;-4.62;-67.38;-67.16;-66.74;-40.81
1490.230;-4.63;-67.37;-67.15;-66.73;-40.87
1490.240;-4.62;-67.39;-67.17;-66.74;-40.82
1490.250;-4.60;-67.40;-67.18;-66.76;-40.84
1490.260;-4.62;-67.38;-67.16;-66.74;-40.78
1490.270;-4.62;-67.38;-67.16;-66.74;-40.83
1490.280;-4.62;-67.38;-67.16;-66.74;-40.74
1490.290;-4.64;-67.37;-67.15;-66.72;-40.77
1490.300;-4.59;-67.41;-67.19;-66.77;-40.82
1490.310;-4.61;-67.40;-67.18;-66.75;-40.72
1490.320;-4.62;-67.38;-67.16;-66.74;-40.72
1490.330;-4.62;-67.38;-67.16;-66.74;-40.69
1490.340;-4.65;-67.36;-67.13;-66.71;-40.76
1490.350;-4.63;-67.38;-67.15;-66.73;-40.71
1490.360;-4.64;-67.37;-67.14;-66.72;-40.75
1490.370;-4.66;-67.35;-67.12;-66.70;-40.71
1490.380;-4.62;-67.38;-67.15;-66.73;-40.66
1490.390;-4.65;-67.36;-67.13;-66.71;-40.62
1490.400;-4.64;-67.36;-67.14;-66.71;-40.75
1490.410;-4.64;-67.36;-67.14;-66.72;-40.71
1490.420;-4.66;-67.35;-67.12;-66.70;-40.70
1490.430;-4.65;-67.36;-67.13;-66.71;-40.72
1490.440;-4.65;-67.35;-67.13;-66.70;-40.72
1490.450;-4.67;-67.33;-67.11;-66.68;-40.69
1490.460;-4.65;-67.35;-67.13;-66.71;-40.74
1490.470;-4.66;-67.34;-67.12;-66.69;-40.75
1490.480;-4.66;-67.35;-67.12;-66.70;-40.76
1490.490;-4.64;-67.36;-67.14;-66.71;-40.73
1490.500;-4.66;-67.34;-67.11;-66.69;-40.76
1490.510;-4.66;-67.34;-67.12;-66.69;-40.76
1490.520;-4.66;-67.35;-67.12;-66.70;-40.74
1490.530;-4.69;-67.32;-67.09;-66.67;-40.73
1490.540;-4.66;-67.34;-67.11;-66.69;-40.74
1490.550;-4.66;-67.35;-67.12;-66.70;-40.77
1490.560;-4.69;-67.31;-67.09;-66.66;-40.84
1490.570;-4.66;-67.34;-67.11;-66.69;-40.73
1490.580;-4.68;-67.32;-67.09;-66.67;-40.71
1490.590;-4.69;-67.31;-67.08;-66.66;-40.75
1490.600;-4.66;-67.34;-67.11;-66.69;-40.71
1490.610;-4.70;-67.30;-67.07;-66.65;-40.79
1490.620;-4.69;-67.31;-67.08;-66.66;-40.79
1490.630;-4.69;-67.31;-67.08;-66.66;-40.77
1490.640;-4.72;-67.28;-67.05;-66.63;-40.75
1490.650;-4.68;-67.32;-67.09;-66.67;-40.78
1490.660;-4.71;-67.29;-67.06;-66.64;-40.79
1490.670;-4.73;-67.28;-67.05;-66.62;-40.78
1490.680;-4.68;-67.33;-67.10;-66.67;-40.77
1490.690;-4.70;-67.30;-67.07;-66.65;-40.82
1490.700;-4.70;-67.31;-67.08;-66.65;-40.69
1490.710;-4.66;-67.35;-67.12;-66.69;-40.78
1490.720;-4.70;-67.30;-67.07;-66.65;-40.81
1490.730;-4.66;-67.34;-67.11;-66.69;-40.82
1490.740;-4.68;-67.32;-67.09;-66.67;-40.82
1490.750;-4.72;-67.28;-67.05;-66.63;-40.90
1490.760;-4.67;-67.33;-67.11;-66.68;-40.87
1490.770;-4.67;-67.33;-67.11;-66.68;-40.84
1490.780;-4.66;-67.34;-67.12;-66.69;-40.82
1490.790;-4.66;-67.34;-67.12;-66.69;-40.79
1490.800;-4.67;-67.33;-67.11;-66.68;-40.88
1490.810;-4.66;-67.34;-67.12;-66.69;-40.83
1490.820;-4.66;-67.34;-67.12;-66.69;-40.92
1490.830;-4.70;-67.30;-67.07;-66.65;-40.78
1490.840;-4.67;-67.33;-67.11;-66.68;-40.86
1490.850;-4.66;-67.34;-67.12;-66.69;-40.90
1490.860;-4.67;-67.33;-67.10;-66.68;-40.83
1490.870;-4.64;-67.36;-67.13;-66.71;-40.86
1490.880;-4.67;-67.33;-67.11;-66.68;-40.91
1490.890;-4.66;-67.34;-67.11;-66.69;-40.87
1490.900;-4.66;-67.34;-67.12;-66.69;-40.89
1490.910;-4.67;-67.33;-67.11;-66.68;-40.89
1490.920;-4.66;-67.34;-67.12;-66.69;-40.88
1490.930;-4.66;-67.34;-67.12;-66.69;-40.89
1490.940;-4.67;-67.32;-67.10;-66.68;-40.79
1490.950;-4.66;-67.34;-67.12;-66.69;-40.86
1490.960;-4.66;-67.34;-67.12;-66.69;-40.89
1490.970;-4.66;-67.34;-67.12;-66.69;-40.86
1490.980;-4.66;-67.34;-67.12;-66.69;-40.92
1490.990;-4.66;-67.34;-67.12;-66.69;-40.92
1491.000;-4.64;-67.35;-67.13;-66.71;-40.93
1491.010;-4.62;-67.37;-67.15;-66.73;-40.94
1491.020;-4.64;-67.36;-67.14;-66.71;-40.94
1491.030;-4.64;-67.36;-67.14;-66.71;-40.91
1491.040;-4.65;-67.34;-67.12;-66.70;-40.92
1491.050;-4.66;-67.34;-67.12;-66.69;-40.85
1491.060;-4.64;-67.35;-67.13;-66.71;-40.88
1491.070;-4.66;-67.34;-67.12;-66.69;-40.92
1491.080;-4.66;-67.34;-67.12;-66.69;-40.96
1491.090;-4.64;-67.35;-67.14;-66.71;-40.91
1491.100;-4.66;-67.34;-67.12;-66.69;-40.90
1491.110;-4.65;-67.35;-67.13;-66.70;-41.01
1491.120;-4.65;-67.34;-67.12;-66.70;-40.94
1491.130;-4.66;-67.34;-67.12;-66.69;-40.91
1491.140;-4.66;-67.34;-67.12;-66.69;-40.96
1491.150;-4.67;-67.32;-67.11;-66.68;-40.96
1491.160;-4.69;-67.30;-67.09;-66.66;-40.93
1491.170;-4.66;-67.33;-67.12;-66.69;-41.01
1491.180;-4.67;-67.32;-67.11;-66.68;-41.04
1491.190;-4.66;-67.33;-67.12;-66.69;-41.02
1491.200;-4.67;-67.32;-67.10;-66.67;-41.03
1491.210;-4.66;-67.33;-67.12;-66.69;-41.01
1491.220;-4.66;-67.33;-67.12;-66.69;-41.01
1491.230;-4.66;-67.33;-67.12;-66.69;-41.04
1491.240;-4.67;-67.32;-67.10;-66.67;-41.01
1491.250;-4.66;-67.33;-67.12;-66.69;-41.05
1491.260;-4.66;-67.33;-67.12;-66.69;-41.03
1491.270;-4.66;-67.33;-67.12;-66.69;-40.95
1491.280;-4.66;-67.33;-67.12;-66.69;-40.97
1491.290;-4.67;-67.32;-67.11;-66.68;-40.91
1491.300;-4.66;-67.33;-67.12;-66.69;-40.98
1491.310;-4.67;-67.32;-67.10;-66.68;-40.88
1491.320;-4.67;-67.32;-67.10;-66.68;-40.91
1491.330;-4.66;-67.32;-67.11;-66.68;-40.96
1491.340;-4.69;-67.30;-67.09;-66.66;-40.84
1491.350;-4.69;-67.29;-67.08;-66.66;-40.89
1491.360;-4.68;-67.31;-67.10;-66.67;-40.91
1491.370;-4.70;-67.29;-67.08;-66.65;-40.89
1491.380;-4.68;-67.30;-67.09;-66.66;-40.89
1491.390;-4.69;-67.29;-67.09;-66.66;-40.90
1491.400;-4.70;-67.28;-67.07;-66.65;-40.94
1491.410;-4.67;-67.31;-67.10;-66.67;-40.96
1491.420;-4.70;-67.29;-67.08;-66.65;-40.93
1491.430;-4.67;-67.31;-67.10;-66.67;-40.96
1491.440;-4.70;-67.29;-67.08;-66.65;-40.95
1491.450;-4.72;-67.27;-67.06;-66.63;-40.95
1491.460;-4.71;-67.27;-67.06;-66.63;-40.89
1491.470;-4.68;-67.31;-67.10;-66.67;-40.97
1491.480;-4.70;-67.29;-67.08;-66.65;-40.93
1491.490;-4.67;-67.31;-67.10;-66.67;-40.93
1491.500;-4.69;-67.30;-67.09;-66.66;-40.91
1491.510;-4.71;-67.28;-67.07;-66.64;-40.83
1491.520;-4.67;-67.32;-67.11;-66.68;-40.91
1491.530;-4.69;-67.30;-67.08;-66.65;-40.81
1491.540;-4.68;-67.31;-67.10;-66.67;-40.87
1491.550;-4.67;-67.31;-67.10;-66.67;-40.89
1491.560;-4.70;-67.29;-67.08;-66.65;-40.87
1491.570;-4.69;-67.30;-67.09;-66.65;-40.91
1491.580;-4.66;-67.33;-67.12;-66.69;-40.85
1491.590;-4.70;-67.29;-67.08;-66.65;-40.83
1491.600;-4.66;-67.33;-67.12;-66.69;-40.80
1491.610;-4.67;-67.32;-67.11;-66.67;-40.79
1491.620;-4.67;-67.31;-67.10;-66.67;-40.74
1491.630;-4.66;-67.33;-67.12;-66.69;-40.66
1491.640;-4.67;-67.32;-67.11;-66.68;-40.60
1491.650;-4.66;-67.33;-67.12;-66.68;-40.57
1491.660;-4.66;-67.33;-67.12;-66.68;-40.56
1491.670;-4.68;-67.31;-67.09;-66.66;-40.62
1491.680;-4.67;-67.32;-67.10;-66.67;-40.52
1491.690;-4.66;-67.33;-67.12;-66.69;-40.55
1491.700;-4.69;-67.30;-67.09;-66.66;-40.59
1491.710;-4.65;-67.34;-67.13;-66.70;-40.42
1491.720;-4.67;-67.32;-67.11;-66.67;-40.50
1491.730;-4.66;-67.33;-67.12;-66.68;-40.49
1491.740;-4.66;-67.33;-67.12;-66.68;-40.34
1491.750;-4.66;-67.33;-67.12;-66.68;-40.34
1491.760;-4.66;-67.33;-67.12;-66.68;-40.33
1491.770;-4.66;-67.33;-67.12;-66.68;-40.18
1491.780;-4.66;-67.33;-67.12;-66.68;-40.12
1491.790;-4.66;-67.33;-67.12;-66.68;-40.11
1491.800;-4.66;-67.33;-67.12;-66.68;-40.10
1491.810;-4.67;-67.31;-67.10;-66.67;-39.92
1491.820;-4.66;-67.33;-67.12;-66.68;-39.96
1491.830;-4.66;-67.33;-67.12;-66.68;-39.98
1491.840;-4.67;-67.32;-67.10;-66.67;-40.04
1491.850;-4.66;-67.33;-67.12;-66.68;-39.93
1491.860;-4.67;-67.31;-67.10;-66.66;-40.02
1491.870;-4.66;-67.32;-67.11;-66.67;-39.98
1491.880;-4.67;-67.31;-67.10;-66.67;-39.90
1491.890;-4.66;-67.33;-67.12;-66.68;-39.92
1491.900;-4.66;-67.33;-67.12;-66.68;-39.87
1491.910;-4.66;-67.33;-67.12;-66.68;-39.82
1491.920;-4.66;-67.33;-67.12;-66.68;-39.84
1491.930;-4.66;-67.33;-67.11;-66.68;-39.95
1491.940;-4.67;-67.31;-67.10;-66.66;-39.89
1491.950;-4.66;-67.32;-67.11;-66.67;-39.77
1491.960;-4.66;-67.33;-67.12;-66.68;-39.72
1491.970;-4.67;-67.32;-67.10;-66.67;-39.81
1491.980;-4.66;-67.33;-67.12;-66.68;-39.77
1491.990;-4.67;-67.32;-67.10;-66.67;-39.82
1492.000;-4.67;-67.31;-67.10;-66.66;-39.76
1492.010;-4.67;-67.32;-67.10;-66.67;-39.76
1492.020;-4.66;-67.33;-67.12;-66.68;-39.70
1492.030;-4.66;-67.33;-67.12;-66.68;-39.72
1492.040;-4.66;-67.33;-67.12;-66.68;-39.66
1492.050;-4.68;-67.31;-67.09;-66.65;-39.62
1492.060;-4.67;-67.31;-67.10;-66.66;-39.65
1492.070;-4.69;-67.30;-67.09;-66.65;-39.80
1492.080;-4.67;-67.31;-67.10;-66.66;-39.71
1492.090;-4.66;-67.33;-67.12;-66.68;-39.79
1492.100;-4.68;-67.31;-67.09;-66.66;-39.80
1492.110;-4.68;-67.31;-67.10;-66.66;-39.82
1492.120;-4.66;-67.32;-67.11;-66.67;-39.71
1492.130;-4.70;-67.28;-67.07;-66.63;-39.63
1492.140;-4.68;-67.31;-67.09;-66.65;-39.63
1492.150;-4.66;-67.33;-67.12;-66.68;-39.73
1492.160;-4.69;-67.30;-67.08;-66.65;-39.62
1492.170;-4.67;-67.32;-67.11;-66.67;-39.64
1492.180;-4.69;-67.29;-67.08;-66.64;-39.62
1492.190;-4.69;-67.29;-67.08;-66.64;-39.62
1492.200;-4.67;-67.31;-67.10;-66.66;-39.67
1492.210;-4.67;-67.31;-67.10;-66.66;-39.68
1492.220;-4.69;-67.30;-67.08;-66.65;-39.62
1492.230;-4.66;-67.33;-67.11;-66.68;-39.60
1492.240;-4.70;-67.29;-67.07;-66.64;-39.68
1492.250;-4.66;-67.32;-67.11;-66.67;-39.64
1492.260;-4.66;-67.33;-67.12;-66.68;-39.69
1492.270;-4.71;-67.28;-67.07;-66.63;-39.69
1492.280;-4.67;-67.31;-67.10;-66.66;-39.53
1492.290;-4.70;-67.29;-67.08;-66.64;-39.68
1492.300;-4.68;-67.31;-67.09;-66.66;-39.77
1492.310;-4.68;-67.31;-67.10;-66.66;-39.63
1492.320;-4.69;-67.29;-67.08;-66.65;-39.68
1492.330;-4.69;-67.29;-67.08;-66.65;-39.68
1492.340;-4.66;-67.33;-67.11;-66.68;-39.62
1492.350;-4.69;-67.29;-67.08;-66.65;-39.68
1492.360;-4.69;-67.29;-67.08;-66.65;-39.76
1492.370;-4.70;-67.28;-67.07;-66.63;-39.73
1492.380;-4.71;-67.28;-67.06;-66.63;-39.88
1492.390;-4.67;-67.31;-67.10;-66.67;-39.74
1492.400;-4.69;-67.29;-67.08;-66.65;-39.75
1492.410;-4.71;-67.28;-67.06;-66.63;-39.78
1492.420;-4.67;-67.31;-67.10;-66.67;-39.74
1492.430;-4.71;-67.28;-67.06;-66.63;-39.63
1492.440;-4.68;-67.30;-67.09;-66.66;-39.64
1492.450;-4.67;-67.32;-67.10;-66.67;-39.68
1492.460;-4.73;-67.26;-67.05;-66.62;-39.78
1492.470;-4.68;-67.31;-67.09;-66.66;-39.72
1492.480;-4.67;-67.32;-67.11;-66.68;-39.86
1492.490;-4.67;-67.31;-67.10;-66.67;-39.80
1492.500;-4.66;-67.33;-67.11;-66.68;-39.77
1492.510;-4.68;-67.31;-67.09;-66.66;-39.81
1492.520;-4.67;-67.32;-67.10;-66.67;-39.73
1492.530;-4.66;-67.33;-67.12;-66.69;-39.70
1492.540;-4.67;-67.31;-67.10;-66.67;-39.76
1492.550;-4.67;-67.31;-67.10;-66.67;-39.71
1492.560;-4.66;-67.32;-67.11;-66.68;-39.67
1492.570;-4.67;-67.31;-67.10;-66.67;-39.76
1492.580;-4.66;-67.33;-67.11;-66.68;-39.74
1492.590;-4.68;-67.30;-67.09;-66.66;-39.69
1492.600;-4.68;-67.31;-67.09;-66.67;-39.66
1492.610;-4.67;-67.31;-67.10;-66.67;-39.60
1492.620;-4.67;-67.31;-67.10;-66.67;-39.62
1492.630;-4.67;-67.32;-67.11;-66.68;-39.67
1492.640;-4.67;-67.32;-67.10;-66.68;-39.80
1492.650;-4.69;-67.29;-67.08;-66.65;-39.78
1492.660;-4.67;-67.32;-67.10;-66.68;-39.68
1492.670;-4.67;-67.32;-67.11;-66.68;-39.74
1492.680;-4.69;-67.30;-67.08;-66.66;-39.75
1492.690;-4.67;-67.31;-67.10;-66.67;-39.67
1492.700;-4.66;-67.32;-67.11;-66.69;-39.60
1492.710;-4.65;-67.33;-67.12;-66.69;-39.69
1492.720;-4.65;-67.33;-67.12;-66.69;-39.63
1492.730;-4.69;-67.30;-67.08;-66.66;-39.65
1492.740;-4.67;-67.32;-67.11;-66.68;-39.62
1492.750;-4.66;-67.33;-67.12;-66.69;-39.68
1492.760;-4.67;-67.31;-67.10;-66.68;-39.61
1492.770;-4.66;-67.33;-67.12;-66.69;-39.64
1492.780;-4.67;-67.31;-67.10;-66.68;-39.67
1492.790;-4.67;-67.32;-67.10;-66.68;-39.71
1492.800;-4.66;-67.33;-67.12;-66.69;-39.60
1492.810;-4.67;-67.31;-67.10;-66.68;-39.57
1492.820;-4.66;-67.33;-67.11;-66.69;-39.63
1492.830;-4.65;-67.33;-67.12;-66.70;-39.54
1492.840;-4.66;-67.33;-67.12;-66.69;-39.62
1492.850;-4.66;-67.33;-67.12;-66.69;-39.45
1492.860;-4.66;-67.33;-67.12;-66.69;-39.49
1492.870;-4.68;-67.30;-67.09;-66.67;-39.51
1492.880;-4.66;-67.33;-67.12;-66.69;-39.49
1492.890;-4.69;-67.29;-67.08;-66.66;-39.56
1492.900;-4.69;-67.29;-67.08;-66.66;-39.60
1492.910;-4.68;-67.31;-67.10;-66.67;-39.56
1492.920;-4.69;-67.30;-67.08;-66.66;-39.50
1492.930;-4.66;-67.32;-67.11;-66.69;-39.49
1492.940;-4.68;-67.30;-67.09;-66.67;-39.48
1492.950;-4.68;-67.31;-67.10;-66.67;-39.53
1492.960;-4.66;-67.33;-67.11;-66.69;-39.49
1492.970;-4.69;-67.30;-67.09;-66.66;-39.57
1492.980;-4.70;-67.29;-67.07;-66.65;-39.53
1492.990;-4.68;-67.31;-67.10;-66.68;-39.58
1493.000;-4.71;-67.28;-67.06;-66.64;-39.63
1493.010;-4.69;-67.29;-67.08;-66.66;-39.58
1493.020;-4.70;-67.29;-67.07;-66.65;-39.59
1493.030;-4.71;-67.28;-67.06;-66.64;-39.59
1493.040;-4.69;-67.30;-67.08;-66.66;-39.55
1493.050;-4.70;-67.29;-67.07;-66.65;-39.58
1493.060;-4.71;-67.27;-67.06;-66.64;-39.61
1493.070;-4.69;-67.30;-67.08;-66.66;-39.65
1493.080;-4.71;-67.28;-67.06;-66.64;-39.55
1493.090;-4.73;-67.26;-67.05;-66.62;-39.61
1493.100;-4.71;-67.28;-67.06;-66.64;-39.61
1493.110;-4.74;-67.25;-67.03;-66.61;-39.56
1493.120;-4.70;-67.29;-67.07;-66.65;-39.57
1493.130;-4.70;-67.29;-67.07;-66.65;-39.62
1493.140;-4.71;-67.28;-67.06;-66.64;-39.66
1493.150;-4.69;-67.30;-67.08;-66.66;-39.63
1493.160;-4.70;-67.29;-67.07;-66.65;-39.64
1493.170;-4.73;-67.26;-67.05;-66.62;-39.70
1493.180;-4.71;-67.28;-67.06;-66.64;-39.67
1493.190;-4.73;-67.26;-67.05;-66.62;-39.59
1493.200;-4.72;-67.27;-67.05;-66.63;-39.70
1493.210;-4.71;-67.28;-67.06;-66.64;-39.74
1493.220;-4.73;-67.27;-67.05;-66.63;-39.65
1493.230;-4.71;-67.28;-67.07;-66.64;-39.71
1493.240;-4.70;-67.29;-67.07;-66.65;-39.66
1493.250;-4.72;-67.27;-67.05;-66.63;-39.79
1493.260;-4.69;-67.30;-67.08;-66.66;-39.78
1493.270;-4.70;-67.29;-67.08;-66.65;-39.78
1493.280;-4.72;-67.27;-67.05;-66.63;-39.81
1493.290;-4.71;-67.28;-67.06;-66.64;-39.73
1493.300;-4.71;-67.28;-67.06;-66.64;-39.89
1493.310;-4.72;-67.27;-67.06;-66.63;-39.86
1493.320;-4.69;-67.30;-67.08;-66.66;-39.87
1493.330;-4.72;-67.27;-67.06;-66.63;-39.87
1493.340;-4.67;-67.32;-67.10;-66.68;-39.89
1493.350;-4.70;-67.30;-67.08;-66.65;-39.83
1493.360;-4.72;-67.27;-67.06;-66.63;-39.86
1493.370;-4.70;-67.29;-67.08;-66.65;-39.94
1493.380;-4.73;-67.27;-67.05;-66.62;-39.96
1493.390;-4.72;-67.27;-67.05;-66.63;-39.97
1493.400;-4.71;-67.28;-67.06;-66.64;-39.96
1493.410;-4.72;-67.27;-67.05;-66.63;-39.95
1493.420;-4.69;-67.30;-67.08;-66.66;-39.85
1493.430;-4.67;-67.32;-67.10;-66.68;-39.91
1493.440;-4.70;-67.30;-67.08;-66.66;-39.92
1493.450;-4.68;-67.32;-67.10;-66.67;-39.98
1493.460;-4.66;-67.33;-67.11;-66.69;-40.15
1493.470;-4.69;-67.30;-67.08;-66.66;-39.92
1493.480;-4.68;-67.31;-67.09;-66.67;-40.01
1493.490;-4.69;-67.30;-67.08;-66.66;-39.93
1493.500;-4.70;-67.30;-67.07;-66.65;-39.93
1493.510;-4.66;-67.34;-67.12;-66.70;-40.03
1493.520;-4.68;-67.31;-67.09;-66.67;-39.87
1493.530;-4.66;-67.34;-67.12;-66.69;-39.96
1493.540;-4.67;-67.32;-67.10;-66.68;-40.08
1493.550;-4.68;-67.31;-67.09;-66.67;-39.97
1493.560;-4.68;-67.32;-67.10;-66.67;-39.98
1493.570;-4.69;-67.30;-67.08;-66.66;-39.99
1493.580;-4.69;-67.30;-67.08;-66.66;-39.96
1493.590;-4.69;-67.30;-67.08;-66.66;-39.88
1493.600;-4.71;-67.29;-67.07;-66.65;-39.88
1493.610;-4.71;-67.29;-67.07;-66.64;-39.96
1493.620;-4.69;-67.30;-67.08;-66.66;-39.99
1493.630;-4.70;-67.30;-67.07;-66.65;-39.88
1493.640;-4.70;-67.30;-67.08;-66.66;-40.01
1493.650;-4.68;-67.32;-67.10;-66.67;-39.85
1493.660;-4.70;-67.29;-67.07;-66.65;-39.86
1493.670;-4.68;-67.31;-67.09;-66.67;-39.98
1493.680;-4.70;-67.29;-67.07;-66.65;-40.10
1493.690;-4.71;-67.29;-67.07;-66.65;-40.04
1493.700;-4.68;-67.32;-67.09;-66.67;-40.11
1493.710;-4.70;-67.29;-67.07;-66.65;-40.14
1493.720;-4.69;-67.30;-67.08;-66.66;-40.15
1493.730;-4.70;-67.30;-67.08;-66.65;-40.21
1493.740;-4.72;-67.27;-67.05;-66.63;-40.21
1493.750;-4.70;-67.30;-67.08;-66.65;-40.21
1493.760;-4.72;-67.27;-67.05;-66.63;-40.18
1493.770;-4.72;-67.27;-67.05;-66.63;-40.26
1493.780;-4.69;-67.30;-67.08;-66.66;-40.20
1493.790;-4.72;-67.28;-67.06;-66.63;-40.31
1493.800;-4.73;-67.27;-67.05;-66.62;-40.32
1493.810;-4.70;-67.29;-67.07;-66.65;-40.32
1493.820;-4.71;-67.28;-67.06;-66.64;-40.37
1493.830;-4.70;-67.29;-67.07;-66.65;-40.32
1493.840;-4.71;-67.28;-67.06;-66.64;-40.23
1493.850;-4.73;-67.27;-67.05;-66.62;-40.15
1493.860;-4.73;-67.27;-67.05;-66.62;-40.07
1493.870;-4.76;-67.24;-67.02;-66.60;-40.11
1493.880;-4.73;-67.27;-67.05;-66.62;-40.11
1493.890;-4.72;-67.27;-67.05;-66.63;-40.07
1493.900;-4.75;-67.25;-67.03;-66.61;-40.25
1493.910;-4.73;-67.26;-67.04;-66.62;-40.32
1493.920;-4.73;-67.26;-67.04;-66.62;-40.12
1493.930;-4.75;-67.24;-67.02;-66.60;-40.22
1493.940;-4.74;-67.25;-67.04;-66.61;-40.27
1493.950;-4.75;-67.25;-67.03;-66.61;-40.20
1493.960;-4.74;-67.25;-67.03;-66.61;-40.07
1493.970;-4.73;-67.26;-67.05;-66.62;-40.12
1493.980;-4.74;-67.25;-67.04;-66.61;-40.00
1493.990;-4.73;-67.26;-67.04;-66.62;-39.90
1494.000;-4.73;-67.26;-67.04;-66.62;-39.89
1494.010;-4.75;-67.25;-67.03;-66.61;-39.87
1494.020;-4.73;-67.26;-67.04;-66.62;-39.77
1494.030;-4.73;-67.26;-67.05;-66.62;-39.74
1494.040;-4.74;-67.25;-67.03;-66.61;-39.70
1494.050;-4.73;-67.26;-67.05;-66.62;-39.69
1494.060;-4.73;-67.26;-67.05;-66.62;-39.60
1494.070;-4.71;-67.28;-67.06;-66.64;-39.55
1494.080;-4.71;-67.28;-67.06;-66.64;-39.52
1494.090;-4.73;-67.26;-67.05;-66.62;-39.51
1494.100;-4.71;-67.28;-67.06;-66.64;-39.62
1494.110;-4.73;-67.26;-67.05;-66.62;-39.57
1494.120;-4.73;-67.26;-67.05;-66.62;-39.55
1494.130;-4.73;-67.26;-67.05;-66.62;-39.52
