OWNER;POINTNAME;FLD_DEV;3_KKS;DESC;ACTIVE;INACTIVE;SIG_TYPE;SIG_LEVEL;PWR_SRC;LOCATION;IO_GROUP;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION;SOE;HIST;PID;LOGIC;HMI_SCREEN;MOD;REV;REV_COMMENT;REV_DATE;REMARKS;Typo;DESCRIPCIÓN;DESCRIPCIÓN ALTERNATIVA;
       ACC;B0LBG10CT001BXQ01;B0LBG10CT002;XQ01;AuxStm Hdr Temp 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm Hdr Temp 2;B0LBG10EA001;
       ACC;B0LBG10CT004XQ01;B0LBG10CT003;XQ01;AuxStm Hdr Pot B0LBG10 Temp xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm Hdr Pot B0LBG10 Temp;B0LBG10EA001;
       ACC;B0LBG10CT901XQ01;B0LBG10CT901;XQ01;AuxStm Hdr Temp xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm Hdr Temp;B0LBG10EA001;
       ACC;B0LBG11CP001AXQ01;B0LBG11CP001;XQ01;IV Extn Condtng CV Outl Press 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Press 1;B0LBG10EA001;
       ACC;B0LBG11CP001BXQ01;B0LBG11CP002;XQ01;IV Extn Condtng CV Outl Press 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Press 2;B0LBG10EA001;
       ACC;B0LBG11CP901XQ01;B0LBG11CP901;XQ01;IV Extn Condtng CV Outl Press xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Press;B0LBG10EA001;
       ACC;B0LBG11CT001AXQ01;B0LBG11CT001;XQ01;IV Extn Condtng CV Outl Temp 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Temp 1;B0LBG10EA001;
       ACC;B0LBG11CT001BXQ01;B0LBG11CT002;XQ01;IV Extn Condtng CV Outl Temp 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Temp 2;B0LBG10EA001;
       ACC;B0LBG11CT901XQ01;B0LBG11CT901;XQ01;IV Extn Condtng CV Outl Temp xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;IV Extn Condtng CV Outl Temp;B0LBG10EA001;
       ACC;B0LBG12CP001AXQ01;B0LBG12CP001;XQ01;MS Attemp CV Outl Press 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Press 1;B0LBG10EA001;
