OWNER;POINTNAME;FLD_DEV;3_KKS; DESC;LONG DESC;ACTIVE;INACTIVE;EST;PRI;SIG_TYPE;SIG_LEVEL;PWR_SRC;NOMINAL POWER;LINE MONITORING;LOCATION;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION_SIGNAL;SOE;HIST;PID;LOGIC;SCHEM;HMI_SCREEN;Intelligent System;Signal Loss;Instrument Function;KKS_Junction Box;Explosion Protection;IS;IS_MODEL;IS_IN_TB_1;IS_IN_TB_2;IS_OUT_TB_1;IS_OUT_TB_2;CONTROLLER;CABINET_KKS;CARD_ID;CARD_TYPE;CARD_POINT_Nº;TA_MODEL;TA_TAG_ID;MC_ID;MC_TERM_STRIP_ID;TB_1;TB_2;TB_3;TB_4;STATUS OF TECHNICAL DATA;IN PAMELA;REMARKS;MOD;REV;REV_COMMENT;REV_DATE
EA-I&C;B0GRB10CL001AXQ01;B0GRB10CL001A;XQ01;Sewage Pit Lvl 1                                ;Sewage Pit Level 1;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM02GH002;A;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GRB10CL001BXQ01;B0GRB10CL001B;XQ01;Sewage Pit Lvl 2                                ;Sewage Pit Level 2;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM02GH002;B;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GRB13CP001XQ01;B0GRB13CP001;XQ01;Sewage Pmps Disch Press                         ;Sewage Pumps Discharge Pressure;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM02GH002;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;PT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA10CL001AXQ01;B0GUA10CL001A;XQ01;Rain Wtr Pit Lvl 1                              ;Rain Water Pit Level 1;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;A;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA10CL001BXQ01;B0GUA10CL001B;XQ01;Rain Wtr Pit Lvl 2                              ;Rain Water Pit Level 2;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;B;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA10CL002AXQ01;B0GUA10CL002A;XQ01;Reused Rain Wtr Tnk Lvl 1                       ;Reused Rain Water Tank Level 1;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;A;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA10CL002BXQ01;B0GUA10CL002B;XQ01;Reused Rain Wtr Tnk Lvl 2                       ;Reused Rain Water Tank Level 2;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;B;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA10CP001XQ01;B0GUA10CP001;XQ01;Reused Rain Wtr Press Grp Inl Fltr DP;Reused Rain Water Pressure Group Inlet Filter Differential Pressure;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;PT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA13AA301XB01;B0GUA13AA301;XB01;Rain Wtr Pmps Disch Vlv                     ;Rain Water Pumps Discharge Valve;Open;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA13AA301XB02;B0GUA13AA301;XB02;Rain Wtr Pmps Disch Vlv                     ;Rain Water Pumps Discharge Valve;Closed;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
