Frequence	Ve(pp)	Vs(pp)	Gain	Phase
30	1.06	1.06	0	0
60	1.06	1.06	0	0
90	1.06	1.06	0	0
100	1.06	1.06	0	0
300	1.06	1.06	0	-4
600	1.06	1.04	-0.165450519	-11
900	1.06	1.02	-0.33411387	-17.5
1000	1.06	1.02	-0.33411387	-19
3000	1.06	0.8	-2.444317565	-62
6000	1.06	0.5	-6.526717219	-93
9000	1.06	0.3	-10.96369221	-100
10000	1.06	0.26	-12.20665035	-111
30000	1.06	0.034	-29.87653896	-130
60000	1.06	0.014	-37.58355659	-160
100000	1.06	0.008	-42.44431757	-180
