Frequence	Ve(pp)	Vs(pp)	Gain	Phase
				
				
				
100	1.06	1	-0.506117305	-15
300	1.06	0.8	-2.444317565	-40
600	1.06	0.54	-5.858242109	-56
900	1.06	0.37	-9.142082824	-68
1000	1.06	0.336	-9.979331757	-70
3000	1.06	0.12	-18.92249238	-87
6000	1.06	0.066	-24.11523859	-90
9000	1.06	0.045	-27.44186703	-95
10000	1.06	0.042	-28.0411315	-93
30000	1.06	0.017	-35.89713888	-113
60000	1.06	0.005	-46.52671722	-130
100000	1.06	0.002	-54.48551739	-140
