Frequence	Ve(pp)	Vs(pp)	Gain	Phase
30	1.08	1.88	4.814681876	-101
60	1.08	3.6	10.45757491	-101
90	1.08	5	13.31092498	-111
100	1.08	5.4	13.97940009	-122
300	1.08	9	18.41637508	-152
600	1.08	9.7	19.06695958	-166
900	1.08	10	19.33152489	-170
1000	1.08	10	19.33152489	-172
3000	1.08	10	19.33152489	-178
6000	1.08	10	19.33152489	-181
9000	1.08	10	19.33152489	-182
10000	1.08	10	19.33152489	-183
30000	1.08	10	19.33152489	-190
60000	1.08	9.8	19.1560464	-200
100000	1.08	9.5	18.885997	-210
