Frequence	Ve(pp)	Vs(pp)	Gain	Phase
30	1.02	4.7	13.26995372	120
60	1.02	2.6	8.127463524	105
90	1.02	1.8	4.933446667	102
100	1.02	1.6	3.910396218	102
300	1.02	0.55	-5.364749645	95
600	1.02	0.27	-11.54472815	93
900	1.02	0.18	-15.06655333	94
1000	1.02	0.16	-16.08960378	91
3000	1.02	0.05	-26.19260335	91
6000	1.02	0.02	-34.15140352	92
9000	1.02	0.018	-35.06655333	93
10000	1.02	0.017	-35.56302501	91
30000	1.02	0.006	-44.60897843	91
				
				
