Frequence	Ve(pp)	Vs(pp)	Gain	Phase
30	1.06	1.06	0	0
60	1.06	1.06	0	0
90	1.06	1.06	0	0
100	1.06	1.06	0	0
300	1.06	1.06	0	0
600	1.06	1.06	0	0
900	1.06	1.04	-0.165450519	0
1000	1.06	1.05	-0.082331324	-5
3000	1.06	1.48	2.899117003	-20
6000	1.06	1.32	1.905361319	-132
9000	1.06	0.45	-7.44186703	-160
10000	1.06	0.344	-9.774948454	-163
30000	1.06	0.036	-29.38006729	-170
60000	1.06	0.012	-38.92249238	-180
100000	1.06	0.006	-44.9430923	-180
