Record Length,2500,Points,5.07500023E-3,2.0799999,,Record Length,2500,Points,5.07500023E-3,-959.999978542E-3,
Sample Interval,100.0000012E-9,s,5.07510034E-3,2.0799999,,Sample Interval,100.0000012E-9,s,5.07510034E-3,-959.999978542E-3,
Trigger Point,-50.75000408E3,Samples,5.07520000E-3,2.0799999,,Trigger Point,-50.75000408E3,Samples,5.07520000E-3,-959.999978542E-3,
,,,5.07530011E-3,2.0799999,,,,,5.07530011E-3,-959.999978542E-3,
,,,5.07540023E-3,2.0799999,,,,,5.07540023E-3,-959.999978542E-3,
,,,5.07550035E-3,2.0799999,,,,,5.07550035E-3,-959.999978542E-3,
Source,CH1,,5.07560000E-3,2.0799999,,Source,CH2,,5.07560000E-3,-959.999978542E-3,
Vertical Units,Volts,,5.07570012E-3,2.0799999,,Vertical Units,Volts,,5.07570012E-3,-959.999978542E-3,
Vertical Scale,1.000000,,5.07580023E-3,2.0799999,,Vertical Scale,2.0000000,,5.07580023E-3,-959.999978542E-3,
Vertical Offset,0,,5.07590035E-3,2.0799999,,Vertical Offset,0,,5.07590035E-3,-959.999978542E-3,
Horizontal Units,s,,5.07600000E-3,2.0799999,,Horizontal Units,s,,5.07600000E-3,-959.999978542E-3,
Horizontal Scale,25.00000029E-6,,5.07610012E-3,2.0799999,,Horizontal Scale,25.00000029E-6,,5.07610012E-3,-959.999978542E-3,
Pt Fmt,Y,,5.07620024E-3,2.0799999,,Pt Fmt,Y,,5.07620024E-3,-959.999978542E-3,
Yzero,40.00000000E-3,,5.07630035E-3,2.0799999,,Yzero,0.0,,5.07630035E-3,-879.999995232E-3,
Probe Atten,1.000000,,5.07640000E-3,2.0799999,,Probe Atten,1.000000,,5.07640000E-3,-959.999978542E-3,
,,,5.07650012E-3,2.0799999,,,,,5.07650012E-3,-879.999995232E-3,
Note,TDS 2002C - 16:08:53   10/05/2022,,5.07660024E-3,2.0799999,,Note,TDS 2002C - 16:08:53   10/05/2022,,5.07660024E-3,-879.999995232E-3,
,,,5.07670036E-3,2.0799999,,,,,5.07670036E-3,-879.999995232E-3,
,,,5.07680001E-3,2.0799999,,,,,5.07680001E-3,-879.999995232E-3,
,,,5.07690012E-3,2.0799999,,,,,5.07690012E-3,-879.999995232E-3,
,,,5.07700024E-3,2.0799999,,,,,5.07700024E-3,-879.999995232E-3,
,,,5.07710036E-3,2.0799999,,,,,5.07710036E-3,-879.999995232E-3,
,,,5.07720001E-3,2.0799999,,,,,5.07720001E-3,-879.999995232E-3,
,,,5.07730013E-3,2.0799999,,,,,5.07730013E-3,-879.999995232E-3,
,,,5.07740024E-3,2.0799999,,,,,5.07740024E-3,-879.999995232E-3,
,,,5.07750036E-3,2.0799999,,,,,5.07750036E-3,-879.999995232E-3,
,,,5.07760001E-3,2.0799999,,,,,5.07760001E-3,-879.999995232E-3,
,,,5.07770013E-3,2.0799999,,,,,5.07770013E-3,-879.999995232E-3,
,,,5.07780025E-3,2.0799999,,,,,5.07780025E-3,-879.999995232E-3,
,,,5.07790036E-3,2.0799999,,,,,5.07790036E-3,-879.999995232E-3,
,,,5.07800002E-3,2.0799999,,,,,5.07800002E-3,-879.999995232E-3,
,,,5.07810013E-3,2.0799999,,,,,5.07810013E-3,-879.999995232E-3,
,,,5.07820025E-3,2.0799999,,,,,5.07820025E-3,-879.999995232E-3,
,,,5.07830037E-3,2.0799999,,,,,5.07830037E-3,-879.999995232E-3,
,,,5.07840002E-3,2.0799999,,,,,5.07840002E-3,-879.999995232E-3,
,,,5.07850014E-3,2.0799999,,,,,5.07850014E-3,-879.999995232E-3,
,,,5.07860025E-3,2.0799999,,,,,5.07860025E-3,-879.999995232E-3,
,,,5.07870037E-3,2.0799999,,,,,5.07870037E-3,-879.999995232E-3,
,,,5.07880002E-3,2.0799999,,,,,5.07880002E-3,-879.999995232E-3,
,,,5.07890014E-3,2.0799999,,,,,5.07890014E-3,-879.999995232E-3,
,,,5.07900026E-3,2.0799999,,,,,5.07900026E-3,-879.999995232E-3,
,,,5.07910037E-3,2.0799999,,,,,5.07910037E-3,-879.999995232E-3,
,,,5.07920003E-3,2.0799999,,,,,5.07920003E-3,-879.999995232E-3,
,,,5.07930014E-3,2.0799999,,,,,5.07930014E-3,-879.999995232E-3,
,,,5.07940026E-3,2.0799999,,,,,5.07940026E-3,-879.999995232E-3,
,,,5.07950038E-3,2.0799999,,,,,5.07950038E-3,-799.999952316E-3,
,,,5.07960003E-3,2.0799999,,,,,5.07960003E-3,-799.999952316E-3,
,,,5.07970015E-3,2.0799999,,,,,5.07970015E-3,-799.999952316E-3,
,,,5.07980026E-3,2.0799999,,,,,5.07980026E-3,-799.999952316E-3,
,,,5.07990038E-3,2.0799999,,,,,5.07990038E-3,-799.999952316E-3,
,,,5.08000003E-3,2.0799999,,,,,5.08000003E-3,-799.999952316E-3,
,,,5.08010015E-3,2.0799999,,,,,5.08010015E-3,-799.999952316E-3,
,,,5.08020027E-3,2.0799999,,,,,5.08020027E-3,-799.999952316E-3,
,,,5.08030038E-3,2.0799999,,,,,5.08030038E-3,-799.999952316E-3,
,,,5.08040003E-3,2.0799999,,,,,5.08040003E-3,-799.999952316E-3,
,,,5.08050015E-3,2.0799999,,,,,5.08050015E-3,-799.999952316E-3,
,,,5.08060027E-3,2.0799999,,,,,5.08060027E-3,-799.999952316E-3,
,,,5.08070039E-3,2.0799999,,,,,5.08070039E-3,-799.999952316E-3,
,,,5.08080004E-3,2.0799999,,,,,5.08080004E-3,-799.999952316E-3,
,,,5.08090016E-3,2.0799999,,,,,5.08090016E-3,-799.999952316E-3,
,,,5.08100027E-3,2.0799999,,,,,5.08100027E-3,-799.999952316E-3,
,,,5.08110039E-3,2.0799999,,,,,5.08110039E-3,-799.999952316E-3,
,,,5.08120004E-3,2.0799999,,,,,5.08120004E-3,-799.999952316E-3,
,,,5.08130016E-3,2.0799999,,,,,5.08130016E-3,-799.999952316E-3,
,,,5.08140028E-3,2.0799999,,,,,5.08140028E-3,-799.999952316E-3,
,,,5.08150039E-3,2.0799999,,,,,5.08150039E-3,-799.999952316E-3,
,,,5.08160004E-3,2.0799999,,,,,5.08160004E-3,-799.999952316E-3,
,,,5.08170016E-3,2.0799999,,,,,5.08170016E-3,-799.999952316E-3,
,,,5.08180028E-3,2.0799999,,,,,5.08180028E-3,-799.999952316E-3,
,,,5.08190040E-3,2.0799999,,,,,5.08190040E-3,-799.999952316E-3,
,,,5.08200005E-3,2.0799999,,,,,5.08200005E-3,-799.999952316E-3,
,,,5.08210016E-3,2.0799999,,,,,5.08210016E-3,-799.999952316E-3,
,,,5.08220028E-3,2.0799999,,,,,5.08220028E-3,-799.999952316E-3,
,,,5.08230040E-3,2.0799999,,,,,5.08230040E-3,-799.999952316E-3,
,,,5.08240005E-3,2.0799999,,,,,5.08240005E-3,-799.999952316E-3,
,,,5.08250017E-3,2.0799999,,,,,5.08250017E-3,-719.999969006E-3,
