Record Length,2500,Points,-7.30000017E-3,-39.99999911E-3,,Record Length,2500,Points,-7.30000017E-3,0.0,
Sample Interval,9.999999747E-6,s,-7.29000010E-3,-79.999998212E-3,,Sample Interval,9.999999747E-6,s,-7.29000010E-3,-79.999998212E-3,
Trigger Point,730.000035652,Samples,-7.28000002E-3,-39.99999911E-3,,Trigger Point,730.000035652,Samples,-7.28000002E-3,0.0,
,,,-7.26999994E-3,-39.99999911E-3,,,,,-7.26999994E-3,0.0,
,,,-7.26000033E-3,-79.999998212E-3,,,,,-7.26000033E-3,-79.999998212E-3,
,,,-7.25000026E-3,-39.99999911E-3,,,,,-7.25000026E-3,-79.999998212E-3,
Source,CH1,,-7.24000018E-3,-39.99999911E-3,,Source,CH2,,-7.24000018E-3,0.0,
Vertical Units,Volts,,-7.23000010E-3,-39.99999911E-3,,Vertical Units,Volts,,-7.23000010E-3,0.0,
Vertical Scale,1.000000,,-7.22000003E-3,-39.99999911E-3,,Vertical Scale,2.0000000,,-7.22000003E-3,0.0,
Vertical Offset,0,,-7.20999995E-3,-39.99999911E-3,,Vertical Offset,0,,-7.20999995E-3,0.0,
Horizontal Units,s,,-7.20000034E-3,-39.99999911E-3,,Horizontal Units,s,,-7.20000034E-3,0.0,
Horizontal Scale,2.4999999E-3,,-7.19000027E-3,-39.99999911E-3,,Horizontal Scale,2.4999999E-3,,-7.19000027E-3,-79.999998212E-3,
Pt Fmt,Y,,-7.18000019E-3,-39.99999911E-3,,Pt Fmt,Y,,-7.18000019E-3,0.0,
Yzero,40.00000000E-3,,-7.17000011E-3,-39.99999911E-3,,Yzero,-320.00000000E-3,,-7.17000011E-3,0.0,
Probe Atten,1.000000,,-7.16000004E-3,-39.99999911E-3,,Probe Atten,1.000000,,-7.16000004E-3,-79.999998212E-3,
,,,-7.14999996E-3,-79.999998212E-3,,,,,-7.14999996E-3,-79.999998212E-3,
Note,TDS 2002C - 14:38:08   10/05/2022,,-7.14000035E-3,-39.99999911E-3,,Note,TDS 2002C - 14:38:08   10/05/2022,,-7.14000035E-3,0.0,
,,,-7.13000027E-3,-39.99999911E-3,,,,,-7.13000027E-3,-79.999998212E-3,
,,,-7.12000020E-3,-39.99999911E-3,,,,,-7.12000020E-3,-79.999998212E-3,
,,,-7.11000012E-3,-79.999998212E-3,,,,,-7.11000012E-3,-79.999998212E-3,
,,,-7.10000005E-3,-39.99999911E-3,,,,,-7.10000005E-3,-79.999998212E-3,
,,,-7.08999997E-3,-39.99999911E-3,,,,,-7.08999997E-3,-79.999998212E-3,
,,,-7.08000036E-3,-39.99999911E-3,,,,,-7.08000036E-3,-79.999998212E-3,
,,,-7.07000028E-3,-39.99999911E-3,,,,,-7.07000028E-3,-79.999998212E-3,
,,,-7.06000021E-3,-79.999998212E-3,,,,,-7.06000021E-3,0.0,
,,,-7.05000013E-3,-39.99999911E-3,,,,,-7.05000013E-3,0.0,
,,,-7.04000005E-3,-39.99999911E-3,,,,,-7.04000005E-3,0.0,
,,,-7.02999998E-3,-39.99999911E-3,,,,,-7.02999998E-3,0.0,
,,,-7.02000037E-3,-39.99999911E-3,,,,,-7.02000037E-3,0.0,
,,,-7.01000029E-3,-39.99999911E-3,,,,,-7.01000029E-3,0.0,
,,,-7.00000022E-3,-39.99999911E-3,,,,,-7.00000022E-3,0.0,
,,,-6.99000014E-3,-39.99999911E-3,,,,,-6.99000014E-3,0.0,
,,,-6.98000006E-3,-39.99999911E-3,,,,,-6.98000006E-3,0.0,
,,,-6.96999999E-3,-39.99999911E-3,,,,,-6.96999999E-3,0.0,
,,,-6.96000038E-3,-39.99999911E-3,,,,,-6.96000038E-3,-79.999998212E-3,
,,,-6.95000030E-3,-39.99999911E-3,,,,,-6.95000030E-3,0.0,
,,,-6.94000022E-3,-39.99999911E-3,,,,,-6.94000022E-3,0.0,
,,,-6.93000015E-3,-39.99999911E-3,,,,,-6.93000015E-3,0.0,
,,,-6.92000007E-3,-39.99999911E-3,,,,,-6.92000007E-3,0.0,
,,,-6.91000000E-3,-39.99999911E-3,,,,,-6.91000000E-3,0.0,
,,,-6.90000039E-3,-39.99999911E-3,,,,,-6.90000039E-3,0.0,
,,,-6.89000031E-3,-39.99999911E-3,,,,,-6.89000031E-3,-79.999998212E-3,
,,,-6.88000023E-3,-39.99999911E-3,,,,,-6.88000023E-3,0.0,
,,,-6.87000016E-3,-39.99999911E-3,,,,,-6.87000016E-3,0.0,
,,,-6.86000008E-3,-39.99999911E-3,,,,,-6.86000008E-3,0.0,
,,,-6.85000001E-3,-39.99999911E-3,,,,,-6.85000001E-3,0.0,
,,,-6.84000039E-3,-79.999998212E-3,,,,,-6.84000039E-3,-79.999998212E-3,
,,,-6.83000032E-3,-79.999998212E-3,,,,,-6.83000032E-3,-79.999998212E-3,
,,,-6.82000024E-3,-39.99999911E-3,,,,,-6.82000024E-3,0.0,
,,,-6.81000017E-3,-39.99999911E-3,,,,,-6.81000017E-3,0.0,
,,,-6.80000009E-3,-39.99999911E-3,,,,,-6.80000009E-3,0.0,
,,,-6.79000001E-3,-39.99999911E-3,,,,,-6.79000001E-3,0.0,
,,,-6.78000040E-3,-39.99999911E-3,,,,,-6.78000040E-3,0.0,
,,,-6.77000033E-3,-39.99999911E-3,,,,,-6.77000033E-3,0.0,
,,,-6.76000025E-3,-39.99999911E-3,,,,,-6.76000025E-3,0.0,
,,,-6.75000018E-3,-39.99999911E-3,,,,,-6.75000018E-3,-79.999998212E-3,
,,,-6.74000010E-3,-39.99999911E-3,,,,,-6.74000010E-3,-79.999998212E-3,
,,,-6.73000002E-3,-39.99999911E-3,,,,,-6.73000002E-3,0.0,
,,,-6.72000041E-3,-79.999998212E-3,,,,,-6.72000041E-3,-79.999998212E-3,
,,,-6.71000034E-3,-39.99999911E-3,,,,,-6.71000034E-3,0.0,
,,,-6.70000026E-3,-39.99999911E-3,,,,,-6.70000026E-3,0.0,
,,,-6.69000018E-3,-39.99999911E-3,,,,,-6.69000018E-3,0.0,
,,,-6.68000011E-3,-79.999998212E-3,,,,,-6.68000011E-3,0.0,
,,,-6.67000003E-3,-39.99999911E-3,,,,,-6.67000003E-3,0.0,
,,,-6.66000042E-3,-39.99999911E-3,,,,,-6.66000042E-3,0.0,
,,,-6.65000034E-3,-79.999998212E-3,,,,,-6.65000034E-3,0.0,
,,,-6.64000027E-3,-39.99999911E-3,,,,,-6.64000027E-3,0.0,
,,,-6.63000019E-3,-79.999998212E-3,,,,,-6.63000019E-3,0.0,
,,,-6.62000012E-3,-39.99999911E-3,,,,,-6.62000012E-3,0.0,
,,,-6.61000004E-3,-39.99999911E-3,,,,,-6.61000004E-3,-79.999998212E-3,
